monster_type,v1,v2,name,basis_id,v5
204,1,152,[1] Treasure Monster,4,-1
205,1,152,[1] Treasure Monster,4,-1
206,1,152,[1] Treasure Monster,4,-1
207,1,152,[1] Treasure Monster,4,-1
208,1,152,[1] Treasure Monster,4,-1
209,1,152,[1] Treasure Monster,4,-1
210,1,152,[1] Treasure Monster,4,-1
211,1,152,[1] Treasure Monster,4,-1
212,1,152,[1] Treasure Monster,4,-1
213,1,152,[1] Treasure Monster,4,-1
214,1,152,[1] Treasure Monster,4,-1
215,1,152,[1] Treasure Monster,4,-1
216,1,152,[1] Treasure Monster,4,-1
217,1,152,[1] Treasure Monster,4,-1
218,1,152,[1] Treasure Monster,4,-1
219,1,152,[1] Treasure Monster,4,-1
220,1,152,[1] Treasure Monster,4,-1
221,1,152,[1] Treasure Monster,4,-1
222,1,152,[1] Treasure Monster,4,-1
223,1,152,[1] Treasure Monster,4,-1
224,1,152,[1] Treasure Monster,4,-1
225,1,152,[1] Treasure Monster,4,-1
226,1,152,[1] Treasure Monster,4,-1
227,1,152,[1] Treasure Monster,4,-1
228,1,152,[1] Treasure Monster,4,-1
229,1,152,[1] Treasure Monster,4,-1
230,1,152,[1] Treasure Monster,4,-1
231,1,152,[1] Treasure Monster,4,-1
232,1,152,[1] Treasure Monster,4,-1
233,1,152,[1] Treasure Monster,4,-1
234,1,152,[1] Treasure Monster,4,-1
235,1,152,[1] Treasure Monster,4,-1
236,1,152,[1] Treasure Monster,4,-1
237,1,152,[1] Treasure Monster,4,-1
238,1,152,[1] Treasure Monster,4,-1
239,205,166,[205] Lexie,0,-1
240,208,166,[208] Lexie,0,-1
241,195,92,[195] Zarukaburi,0,-1
242,197,94,[197] Tohoho,0,-1
243,199,80,[199] Lowborn Frog,0,-1
244,201,81,[201] Demp,0,-1
245,203,120,[203] Angry Myurobie,0,-1
246,206,86,[206] Kamaitachi,0,-1
247,1,152,[1] Treasure Monster,4,-1
248,1,152,[1] Treasure Monster,4,-1
249,1,152,[1] Treasure Monster,4,-1
