episode_id,t1,t2,t3,t4,a,b
36,[49] Karen Runs Away,What? Karen hasn't come home for days? Maybe she just got angry over something small and ran away again... Huh? There is actually a deeper reason? -Episode 20: Karen Runs Away- What is the relationship between Karen and Father Vermont? (Dun-dun!),Students in year 2 or above who cleared “Fly High!”,,1,20004
37,[60] Your Room Is My Room,"Break it! Take it! My room is mine! Other people's rooms are mine too!<br>Break each room's sign and change it to your team's color, and that room becomes your team's territory! The team that occupies the most rooms wins!<br>(However, if the enemy destroys your team's sign, that room is taken. Protect your rooms while taking the opponent's rooms!)",Students in year 3 or above<br>2–4 teams,,1,20101
38,[69] Emily in the Bathroom,"Emily in the Bathroom, who should only appear in ghost stories, has appeared at school!!! Shiver, shiver... Before something even more terrifying happens... we have to solve this!",Students in year 3 or above who cleared “A Scene with Crocos”,,1,20402
39,[43] Close Encounters,"After ghosts and peerless beauties, now aliens! Kurata claims that if you arrange stone monuments around the memorial tower to make a magic circle, you can summon aliens. Stone monuments, huh... does that mean lots of Nightwalkers will appear? How will this suspicious incident end?",Students in year 2 or above who cleared “Give Back the Treasure”<br>4人以上,,1,20004
40,[1] Lunchbox Rhapsody,"Disaster! The food at Sowol Academy's school shop has sold out! In response, the student council decided to have the students compete and give lunchboxes to the winners. Join this event where you can get a lunchbox and train your stamina at the same time.","2 teams, 8–16 players total",,1,0
41,[32] Give Back My Set Square,"Because thefts keep happening inside the school, Youen-sensei asks the students to patrol at night. Search the school and find the culprit behind the thefts! But... will you really get it back?",Students in year 2 or above who cleared “Phantom of Opera”,,1,20004
42,[1] Eat to Win!,"Wolves have appeared and sheep are being eaten one after another. When Yochimaru learns of the situation, he makes a proposal: “If it is the sheep's fate to be eaten by wolves... then we shall eat them all first!!” Yochimaru is serious...",Students in year 3 or above<br>2–4 teams,,1,10101
43,[30] Those Who Don't Work Sh,"Auntie Penguin asks you to carry the milk crates placed in front of the school gate. Of course, it isn't unpaid work! Those who try hard will get lots of milk! Those who don't work shall not drink! Now, start carrying!!",Students in year 2 or above<br>4 teams、8 players以上,,1,10101
44,[7]His & Her Student Council,"At Sam-sensei's request, go find the members of the student council and obtain the key from them. You will meet Shin Sohyun, the dignified general affairs officer and vice president, and Ruben Shepard, the silent student council president who is the most popular guy among Sowol's girls... ★GoGo★, meet him and her!",Students in year 1 or above who cleared “Occult Box”,,1,20001
45,[66] Trial of the White Ston,"To descend into the monster den said to lie at the bottom of the underground cemetery, you need Father Vermont's permission. Take a strict test and prove your strength. The white stone puzzle that tests your intellect is difficult, but the priest also releases monsters he previously sealed and makes you fight them. Father, don't tell me... you have strange tastes?!",Students in year 5 or above,,1,0
46,[46] Fly High!,"An incident occurs where Suiren's treasured broom disappears! Kurata, who was near the scene, is absolutely, incredibly suspicious no matter how you look at it! But Kurata once again makes a shameless demand! Do we really have to listen?",Students in year 2 or above who cleared “Close Encounters”,,1,20004
47,[38] Halloween Trick,"One night, you go to the cemetery and find ghosts wandering around like mad. According to Suiren, the dead awakened because something is in the cemetery...",Students in year 2 or above who cleared “The Hitodama Incident”,,1,20004
48,[55] The Priest and the Fox ,"One day, Father Vermont asks you to go to the cemetery with Suiren. What is the sad past between the priest and the fox sisters?!",Students in year 2 or above who cleared “Toward the New World”,,1,20004
49,[30] Gravestone Race,Defeat the Nightwalkers ravaging the cemetery and arrange the gravestones. Ah! Other students are carrying off the gravestones. We can't lose like this! Beat the other students while arranging the gravestones first!,Students in year 2 or above<br>2 teams,,1,20101
50,[68] Apricot-Colored Necklac,"O-ho-ho-ho! I am Shaolin, president of the Occult Research Club! Welcome to the clubroom. But can you prove you have the skill to play here? Defeat the “Montal,” which is much stronger than it looks. Then, if you can find the “apricot-colored necklace” I lost in the Fox Cave, I will acknowledge your abilities.",Students in year 5 or above,,1,0
51,[73] Devil's Whisper,"Shaolin has gone deep into the Fox Cave. At the invitation of Suspicious Student A from the Occult Research Club, make an excuse to deliver rice cakes to Shaolin and follow her. The gate that was always closed is open, and the legendary guardian fairy is gone. At last, you reach the abyss of the Fox Cave, and what you see there is... something you must never see?",Students in year 5 or above,,1,0
52,[63] Dangerous Delivery Miss,"Deliver it to Estiva Academy quickly and accurately! No matter how dangerous the road is, run and run and keep running, passing through the first underground waterway, then the second, then the third... What suddenly appears there?! Can you complete the delivery alive?!",Students in year 5 or above,,1,0
53,[94] Run! Run! Students,"Just as you climb because a mountain is there, you run because a road is there. No matter what lies at the end. No matter what dangers await. In any case, go find out where the newly discovered underground waterway leads!",Students in year 4 or above who cleared “The Drain Is Full of Danger”<br>2～4人,,1,10004
54,[89] The Priest's Truth,"The priest has made a pact with a demon?! When you follow Karen into the public cemetery, Karen, who was angry and blocked your way at first, shows you the shocking scene. The group is confused by the impossible sight, and then the demon notices you...",Students in year 3 or above who cleared “Youen-sensei's Request”,,1,20402
55,[77] Crazy Dance Show,"After learning that a terrifying presence threatening Sowol Academy is hidden inside the Fox Cave, Ruben joins forces with the students and goes to defeat “it.”",Students in year 6 or above,,1,0
56,[29] Phantom of the Opera,"Zero-Sevens have started swarming even inside the school. This is a sign that Sowol's infamous monster, the "Phantom" is about to revive, and it apparently comes back when it hears an opera to the end... By the way, what is this music we've been hearing for a while now...?!",Students in year 1 or above who cleared “Occult Research Club Enrollment Guide”,,1,20001
57,[79] The Wolf Is Coming!,"While Hyunrang is away from the pen, a pack of wolves led by a fox girl leaps over the fence and attacks. You try to protect the sheep somehow, but there are far too many wolves for it to be easy. Defeat the wolves! Evacuate the sheep to the underground waterway! Then gather the sheep scattered through the waterway to a safe place.",Students in year 3 or above who cleared “Warguma's Shady Stall”,,1,10402
58,[111] Night of the Wolves,Hyunrang worries that a pack of wolves may appear again and target the sheep. A grand gathering of canines! And then... Hyunrang's private life is revealed?!,Students in year 4 or above who cleared “Henkuma Library”,,1,10004
59,[83] True Sp Mission StuCo,"You swore never to be fooled again, but Suchong appears once more and gives a grand speech! He says to defeat the Sparbies dirtying the school? Will Suchong live up to expectations again this time?!",Students in year 3 or above who cleared “They Came to the Back Mountain”,,1,10402
60,[92] The Drain Is Full of Da,"The water won't drain from the greenhouse! Something seems wrong somewhere in the sewer... Cross the flooded greenhouse, enter the sewer, and investigate! Something... something is there!",Students in year 4 or above who cleared “The Secret Laboratory”,,1,10004
61,[1] Box-Filled Hallway,"Perhaps because of EVP, Soso have recently been appearing in many schools. For some reason, trainee teachers wearing bear costumes all seem afraid of Soso... and Sam-sensei is no exception. Sam-sensei is troubled over how to deal with them... Defeat the Soso and restore peace to the hallway!",Students in year 1 or above,,1,20001
62,[1] Ball-Breaking Contest,"A physical training event hosted by Bianca-sensei, who has many fans both inside and outside the school! This time, the team that breaks more of the opposing team's balls wins. Of course, directly interfering with the other team is allowed too. Have fun exercising with your friends!",Students in year 1 or above<br>2 teams、up to 16 players,,1,10101
63,[23] Robogas Explosion,"A huge explosion was heard from beneath the school. Was it an earthquake, or something else? Go underground and investigate the cause of the tremor! Down there is a giant “trace of something”?! What in the world is this?! The ○○ Research Club?",Students in year 1 or above who cleared “An Evening of Jingisukan”,,1,10001
64,[29] The Library Secret,"Alina is a girl who loves music more than anything. After hearing a beautiful melody from beneath the library, she wonders if it might be the goddess's music from legend and can no longer sleep at night. Sneak into the library through the underground waterway without being found by Paige-sensei, the librarian. Does the legendary goddess really exist? Can you meet her?",Students in year 1 or above who cleared “The Wizard of Oz”,,1,10001
65,[49] Catch the Book Thief!,"Recently, several books have apparently vanished in a short time! The culprit seems to be Marsh, a monster that eats books...",Students in year 2 or above who cleared “Mao-sensei's Bag”,,1,10702
66,[43] Lost Lamb,Mocha is missing! And the Wargumas seem to be plotting something in the bathroom... This is really dangerous! We have to hurry and find Mocha!!,Students in year 2 or above who cleared “Special Mission Student Council Reloaded”,,1,10702
67,[59] First Contact,"The World Tree has begun to wither. On top of that, the Woodherians who live near it have appeared and are speaking nonsense. Worried about the World Tree, Johnny goes looking for a way to talk with the Woodherians... Can the World Tree be healed?",Students in year 2 or above who cleared “Is the Truth Out There?”,,1,10702
68,[5] Occult Box,"New supplies have arrived for the Occult Research Club. Kurata, a suspicious-looking member of the club, says the boxes are very heavy, and if you carry them for him, he will give you a dubious item called a “love-fulfillment talisman.” Can you trust him? What kind of supplies does the Occult Research Club have? Could there be monsters inside? Nothing to lose by trying! Help Kurata and carry the boxes!",Students in year 1 or above who cleared “Scaredy-Cat Sam-sensei”,,1,20001
69,[1] Extreme Ball Battle,"Compete fair and square through sports! This is a PVP episode where two teams compete, and using weapons to interfere is allowed. The rules are simple: take the ball that appears in the center and put it into the opponent's goalpost! The first half is 3 minutes, and the second half is also 3 minutes. However, points are doubled in the second half, so there is a chance for a comeback! Fight!",Students in year 1 or above<br>2 teams,,1,20101
70,[17] Sowol Cleanup Operati,Sowol Academy has been restless because of ghost incidents and other troubles. Sam-sensei was doing a big cleanup for the first time in a while to improve the school's atmosphere. But then Ratchu suddenly appeared! Do something!,Students in year 1 or above who cleared “A Talisman for the Ghost”,,1,20001
71,[26] Occult Club Guide,"Kurata, a gloomy student recruiting new members for the Occult Research Club, asks you to help with his work. Help Kurata put up promotional posters and defeat anyone who gets in the way! “Please eliminate all obstacles... whatever they may be, whoever they may be... heh heh heh.” (Kurata)",Students in year 1 or above who cleared “Sam-sensei's Request”,,1,20001
72,[52] Toward the New World,"Kurata, a person even more troublesome than Estiva's Suchong, says he is going to a new world this time? What is this new world?! Will you follow him again, assuming you are being tricked? Kurata says you should first look for traces leading to another world... (If he wants to go, why doesn't he go alone?) What is the new world? And how will it end...?",Students in year 2 or above who cleared “Karen Runs Away”,,1,20004
73,[34] Great Magic on a Moonli,"Kurata, who has caused all kinds of trouble, says he will perform a “spell to summon a peerless beauty” on a moonlit night, and asks you to get rid of the nuisances around the venue. Beat down the noisy monsters that gather nearby, and once the area is quiet, Kurata begins chanting his suspicious spell... Who is the “peerless beauty” that finally appears?!",Students in year 2 or above who cleared “Give Back My Set Square!”,,1,20004
74,[36] The Hitodama Incident,What?! Hitodama appeared somewhere other than the public cemetery?! Investigate the truth around the back mountain and the World Tree!! And remember this well: not everything you see is the truth! (Maybe that was a little dramatic?),Students in year 2 or above who cleared “Great Magic on a Moonlit Night!”,,1,20004
75,[40] Give Back the Treasure,"Rigu and Bio from the cemetery attack the school to recover a small marble that was given to Kurata. You want to clear up the misunderstanding and return the marble somehow, but first you have to drive back the ghosts that have gone berserk and are attacking even inside the classrooms. Return the marble to its owner after that!",Students in year 2 or above who cleared “Halloween Trick”,,1,20004
76,[17] Penguin Delivery,"Auntie Penguin No. 2, who sells goods at the school shop, has started a delivery business! Apparently she is hiring part-time workers... Anyway, all you have to do is deliver the packages safely? That sounds easy! Now, hurry and safely deliver the packages to the people waiting for them!",Students in year 1 or above who cleared “Special Mission Student Council”,,1,10001
77,[23] Sam-sensei's Request,"Sam-sensei was on his way to bring milk crates to Father Vermont at the chapel. But then, Monera suddenly appeared and carried the milk crates away. Curse those monsters!! Go to the backyard cemetery, where repair work has been suspended, and recover the milk crates!",Students in year 1 or above who cleared “The Stolen Lunch”,,1,20001
78,[59] Ghosts of the World Tre,Unfamiliar ghosts have appeared at Sowol Academy! Cowardly Youen-sensei is so scared she keeps crying... Huh? The Woodherians are angry?! Could they have something to do with the incident? What are those easygoing-looking fellows angry about?,Students in year 2 or above who cleared “The Priest and the Fox Sisters”,,1,20004
79,[2] Boxes Filling the Hallwa,"Ben-sensei is still terrified of Soso. Recently Soso have started appearing on the second floor of the school building too, and Ben-sensei is in real trouble. He placed various things in the hallway to stop more Soso from appearing, but it is only a temporary fix. Come on, defeat the Soso again and help Ben-sensei!",Students in year 1 or above who cleared “Boxes Filling the Hallway”,,1,10001
80,[2] Boxes Fill Faculty Room,"Sam-sensei had a terrible time with Soso before. He says he left some documents in the faculty room, but because the hallway is still full of Soso, he is too scared to go get them. Take Sam-sensei's request and advance, advance again, all the way to the faculty room!",Students in year 1 or above who cleared “A Hallway Full of Boxes”,,1,20001
81,[89] The Secret Laboratory,"At Johnny's request, you go down to pull the underground waterway lever. But then Baraus suddenly appears! And the lever is broken too! On top of that, you discover a mysterious secret space!! What is this place? Who is behind it all?!",Students in year 3 or above who cleared “Operation Rescue Johnny”,,1,10402
82,[89] Adult Matters ~Sowol ,Don't interfere with adult business.,Adult Matters ~Sowol Arc~,,1,0
83,[92] The Sound of the Organ,"Hoyang is captivated by Meiyen's organ music and longs for her. When you meet Meiyen and deliver the letter, she is delighted, and the two promise to meet at the Bridge of Wishes. But Hoyang does not appear at the bridge where Meiyen waits. What happened to Hoyang?",Students in year 4 or above who cleared “The Priest's Truth”,,1,20702
84,[94] Love Poem,"Meiyen has fallen for the voice reciting poetry that she hears at night these days. Asked to deliver a letter written to the owner of the voice, the group brings the letter to Hoyang. The two arrange to meet at the Bridge of Wishes, and then...",Students in year 4 or above who cleared “The Sound of the Organ”,,1,20702
85,[100] Disappearance,"Recently, students have been disappearing frequently. As you investigate the old school building for clues, you are drawn in by a great horror lurking behind the incidents... Can you no longer return...?",Students in year 4 or above who cleared “The Missing Doll Incident”,,1,20702
86,[108] Lost Memories,"At Meiyen's request, you go to check on Hoyang's safety... but instead of Hoyang, a monster appears! You chase the suspicious monster, activate a magic circle, and at the place it leads... the sad truth about Hoyang and Meiyen is revealed!",Students in year 4 or above who cleared “I Am the School Rules!”,,1,20702
87,[121] Master of Puppets,"The culprit behind the disappearances in the old school building was the Puppet Master. You were nearly the next victim, but Shin Sohyun and Ruben Shepard saved you-though even they could not defeat the Puppet Master... But right now, the Puppet Master is very weakened. Find it before it recovers its power and finish it off!",Students in year 4 or above who cleared “A Peaceful Afternoon and a Music Box”,,1,20702
90,[77] Warguma's Shady Stall,"The Wargumas prowling in front of the school have finally crossed the back mountain, entered the school backyard, and opened a shady stall selling items that violate school rules. Help the furious Riez-sensei and smash the shady stall!",Students in year 3 or above who cleared “Sunken Classroom”,,1,10402
91,[114] Sp Mission StuCo:Compl,"Everyone's hero (self-proclaimed), Suchong, rises once again to protect the peace of the school! While exterminating monsters in the pool, you suddenly end up in a strange place...? Huh? This is the student council's secret base? Suchong, look me in the eye and say that again, would you?",Students in year 4 or above who cleared “Night of the Wolves”,,1,10004
92,[63] Mujina Guard,"Hoyang is a serious earthbound spirit in the old school building who loves music. But ever since the Mujina Guard appeared, he has been having painful days. Mujina? A tanuki? When you go there, it is a teacher and a ghost... Can this be resolved?!",Students in year 3 or above who cleared “Ghosts of the World Tree”,,1,20402
93,[65] Night of the Ripper,Youen-sensei is worried because more students have been going to the old school building and coming back with cuts lately. The culprit is probably a yokai called Kamaitachi. Let's go solve Youen-sensei's worry!,Students in year 3 or above who cleared “Mujina Guard”,,1,20402
94,[96] At the End of Escape,"Hoyang says he is very worried because the sound of the organ has not been heard lately, and instead he hears a girl crying. Who is the villain bullying Meiyen?! We won't forgive them!!",Students in year 4 or above who cleared “Love Poem”,,1,20702
96,[87] Youen-sensei's Request,The laboratory at the university Youen-sensei graduated from apparently needs bat saliva as a medicine ingredient. It seems bats can be found if you enter the underground waterway... but bats appear in only one of the three rooms! Search carefully and do not choose wrong!,Students in year 3 or above who cleared “Sowol Encyclopedia”,,1,20402
97,[85] Wisdom Teeth,"Chart, a member of the nursing club, ran away crying because he does not want his wisdom tooth pulled. Karte, another nursing club member, tries to persuade him, but Chart runs away because Bianca-sensei is going to pull his wisdom tooth...",Students in year 3 or above who cleared “True Special Mission Student Council”,,1,10402
98,[96] The Flaming Infirmary,The infirmary is on fire!! Carry buckets filled with water and put out the fire before it spreads! But why do fires happen so often here?,Students in year 4 or above who cleared “Run! Run! Students”,,1,10004
99,[117] Devoted Heart,"Because a hole opened in the wall of the underground waterway, the library is flooded! Paige-sensei is heartbroken that the library's precious books might get wet... If you don't stand up now, you aren't an Estiva student! But then you are misunderstood by a warrior of justice (?) who secretly set out to help Paige-sensei... Anyway, the priority is to plug the leaking hole with this stone!!",Students in year 4 or above who cleared “Special Mission Student Council: Complete Edition”,,1,10004
100,[125] Warguma Casino?,"The wicked Warguma now wickedly tempts you to wager money on a wicked dice game. The rules are wickedly simple, and if things go well, it is a huge chance to make a wicked amount of money?! But if you gamble in front of the school...",Students in year 4 or above who cleared “Youen-sensei's Special Lesson”,,1,10004
101,[79] Flood Warning,"The old school building has been flooded. Hoyang, worried that the books will get wet, asks you to drain the water, but the situation is not that simple! Myurobies become ferocious when the water is gone, so be careful.",Students in year 3 or above who cleared “Simmering Love at the Heart of the School”,,1,20402
102,[117] A Peaceful Afternoon a,"Today, try making a one-of-a-kind handmade music box with Hoyang! Look up how to make it in the encyclopedia, gather the music box parts, and... the mysterious final step is a must-see!",Students in year 4 or above who cleared “Shall We Clean?”,,1,20702
103,[114] Shall We Clean?,"Unlike her problem-child younger sister, the older sister Suiren is quiet and loves cleanliness. Help her as she always cleans diligently, and make every corner of the school spotless!",Students in year 4 or above who cleared “The Last Day of the Old School Building”,,1,20702
104,"[60] Red Soso, Blue Soso","In the old-fashioned restroom deep in the old school building, the smell of history and tradition hangs heavy. The rumored “Weeping Woman” appears and makes the students face off. “Shall I give you red Soso? Shall I give you blue Soso?” Follow the ghost's instructions and defeat the correct color of Soso. Defeating the correct color raises your score, while defeating the wrong color lowers it! This is a PVP episode where you can also hit other players to interfere.",Students in year 3 or above<br>2 teams,,1,20101
