index,quest_id,v1,v2,item_id,amount
188,1067,3,4,71,1
189,1067,4,3,10002,150
190,1068,1,4,264,1
191,1068,3,4,250,1
192,1068,4,1,1,3000
193,1068,4,3,10002,150
194,1068,4,3,10003,90
195,1070,3,4,278,1
196,1070,4,1,1,26250
197,1071,3,4,93,5
198,1071,4,3,20001,150
199,1071,4,3,20002,75
200,1072,3,4,240,1
201,1072,4,3,20002,105
202,1073,3,4,104,40
203,1073,4,3,10003,105
204,1073,4,3,10004,75
205,1074,3,4,226,40
206,1074,4,1,1,18750
207,1075,3,4,279,25
208,1075,4,3,10004,150
209,1075,4,3,20001,45
210,1076,3,4,280,1
211,1076,4,1,1,15000
212,1077,3,4,44,50
213,1077,4,3,10003,255
214,1078,1,4,44,30
215,1078,3,4,44,30
216,1078,4,3,20001,225
217,1079,3,4,226,40
218,1079,4,3,20001,255
219,1080,1,4,290,1
220,1080,2,4,185,1
221,1080,3,4,290,1
222,1080,4,1,1,1125
223,1080,4,3,10003,105
224,1081,1,4,290,1
225,1081,2,4,185,1
226,1081,3,4,290,1
227,1081,4,1,1,11250
228,1082,3,4,77,10
229,1082,4,1,1,100
230,1082,4,3,10005,30
231,1083,3,4,77,10
232,1083,4,1,1,100
233,1083,4,3,10005,30
234,1084,3,4,77,10
235,1084,4,1,1,100
236,1084,4,3,10005,30
237,1085,3,4,284,40
238,1085,4,3,10004,150
239,1085,4,3,20001,45
240,1086,3,4,270,1
241,1086,4,1,1,7500
242,1086,4,3,10004,90
243,1086,4,5,10003,3
244,1087,3,4,104,40
245,1087,4,1,1,1875
246,1087,4,3,20002,150
247,1088,3,4,279,30
248,1088,4,1,1,30000
249,1089,3,4,285,30
250,1089,4,1,1,1050
251,1089,4,3,10003,180
252,1090,3,4,286,1
253,1090,4,3,10003,300
254,1091,3,4,287,40
255,1091,4,3,10003,405
256,1104,3,4,314,1
257,1104,4,3,10003,200
258,1104,4,3,20002,40
259,1104,4,5,10004,2
260,1104,5,4,311,30
261,1105,3,4,295,1
262,1105,4,1,1,5000
263,1105,4,3,10004,200
264,1106,3,4,8,15
265,1106,4,1,1,25000
266,1107,3,4,322,1
267,1107,4,3,20002,120
268,1107,5,4,310,1
269,1108,3,4,299,8
270,1108,4,1,1,45000
271,1109,3,4,298,1
272,1109,4,3,10003,300
273,1109,4,3,10004,300
274,1110,3,4,307,50
275,1110,4,3,20002,270
276,1111,3,4,320,1
277,1111,4,3,20001,666
278,1111,5,4,317,50
279,1112,3,4,328,1
280,1112,3,4,327,1
281,1112,3,4,329,1
282,1112,4,1,1,3000
283,1112,4,3,10003,100
284,1112,4,3,10004,100
285,1112,4,3,20001,100
286,1112,4,3,20002,100
287,1112,5,4,312,30
288,1112,5,4,324,3
289,1113,3,4,309,1
290,1113,4,1,1,56000
291,1114,3,4,325,30
292,1114,4,1,1,5000
293,1114,4,3,10004,250
294,1115,3,4,303,1
295,1115,4,3,10004,400
296,1116,3,4,301,1
297,1116,4,1,1,20000
298,1116,4,5,10004,2
299,1116,5,4,308,20
300,1117,3,4,313,1
301,1117,4,3,10003,300
302,1118,3,4,349,20
303,1118,4,3,10004,225
304,1119,3,4,350,1
305,1119,4,1,1,37500
306,1120,3,4,351,25
307,1120,4,3,10004,255
308,1121,3,4,352,1
309,1121,3,4,353,1
310,1121,4,1,1,3750
311,1121,4,3,20002,300
312,1122,3,4,354,5
313,1122,4,1,1,51000
314,1123,3,4,355,1
315,1123,4,3,20002,300
316,1124,3,4,356,1
317,1124,4,3,10004,300
318,1124,4,3,20002,45
319,1125,3,4,357,1
320,1125,4,1,1,60000
321,1126,3,4,359,40
322,1126,4,3,20002,360
323,1127,3,4,360,1
324,1127,4,1,1,52500
325,1128,3,4,361,20
326,1128,4,3,20002,330
327,1129,3,4,362,1
328,1129,4,3,10004,180
329,1129,4,3,20002,150
330,1130,3,4,363,10
331,1130,4,3,10004,210
332,1130,4,3,20002,45
333,1131,3,4,364,1
334,1131,4,1,1,15000
335,1131,4,3,10004,165
336,1131,4,5,10004,2
337,2001,3,4,77,10
338,2001,4,1,1,100
339,2001,4,3,10005,30
340,2002,3,4,273,40
341,2002,4,1,1,70
342,2002,4,3,10005,50
343,2002,4,3,20001,3
344,2003,1,4,152,4
345,2003,3,4,158,4
346,2003,4,1,1,200
347,2003,4,3,10005,30
348,2004,3,4,156,2
349,2004,4,1,1,300
350,2004,4,3,10005,30
351,2005,3,4,5,35
352,2005,4,1,1,600
353,2005,4,3,10005,55
354,2006,3,4,147,40
355,2006,4,1,1,140
356,2006,4,3,10005,30
357,2006,4,5,10001,1
358,2007,3,4,40,25
359,2007,4,1,1,520
360,2007,4,3,10005,30
361,2007,4,3,20001,9
362,2008,3,4,153,1
363,2008,4,1,1,200
364,2008,4,3,10005,105
365,2009,3,4,129,40
366,2009,4,1,1,900
367,2009,4,3,10005,30
368,2010,3,4,154,50
369,2010,4,1,1,600
370,2010,4,2,150075,1
371,2010,4,3,10005,30
372,2010,4,5,10001,1
373,2011,3,4,96,30
374,2011,4,1,1,14
375,2011,4,2,150079,1
376,2011,4,3,10005,65
377,2011,4,3,20001,21
378,2012,3,4,80,12
379,2012,4,1,1,800
380,2012,4,3,10005,130
381,2013,3,4,96,25
382,2013,4,3,10005,30
383,2013,4,3,10002,15
384,2013,4,3,20001,15
385,2014,3,4,39,35
386,2014,4,1,1,1000
387,2014,4,3,10005,30
388,2014,4,3,20002,3
389,2015,3,4,133,1
390,2015,4,1,1,100
391,2015,4,3,10005,230
392,2016,3,4,145,1
393,2016,4,1,1,2000
394,2016,4,3,10005,30
395,2016,4,3,20001,30
396,2016,5,4,146,1
397,2017,3,4,228,25
398,2017,4,1,1,900
399,2017,4,3,10005,30
400,2017,4,5,10001,1
401,2018,3,4,148,30
402,2018,4,1,1,200
403,2018,4,3,10005,30
404,2018,4,3,10002,60
405,2019,3,4,149,25
406,2019,4,3,10005,275
407,2020,3,4,67,1
408,2020,4,1,1,1600
409,2020,4,3,10005,30
410,2020,4,3,20001,45
411,2021,3,4,95,30
412,2021,4,1,1,1100
413,2021,4,3,10005,280
414,2022,3,4,84,30
415,2022,3,4,56,40
416,2022,4,1,1,3000
417,2022,4,3,10002,60
418,2022,4,3,10003,30
419,2023,3,4,128,40
420,2023,4,1,1,4500
421,2023,4,5,10002,3
422,2024,3,4,248,1
423,2024,4,1,1,10200
424,2025,3,4,92,1
425,2025,4,3,10002,300
426,2025,4,3,10003,30
427,2026,3,4,70,30
428,2026,4,1,1,3000
429,2026,4,3,10002,120
430,2027,3,4,130,35
431,2027,4,1,1,4200
432,2027,4,3,10002,150
433,2028,3,4,87,30
434,2028,4,1,1,900
435,2028,4,3,20001,60
436,2028,4,3,20002,30
437,2029,3,4,122,20
438,2029,4,1,1,12000
439,2030,3,4,223,35
440,2030,4,1,1,6600
441,2030,4,3,10002,60
442,2030,4,3,10003,30
443,2031,3,4,155,1
444,2031,4,1,1,1500
445,2031,4,3,10003,135
446,2031,4,5,10002,3
447,2032,3,4,177,1
448,2032,4,1,1,9000
449,2033,3,4,131,25
450,2033,4,1,1,6000
451,2033,4,3,20002,42
452,2034,3,4,150,4
453,2034,4,1,1,3000
454,2034,4,3,20001,120
455,2035,3,4,132,1
456,2035,4,1,1,30000
457,2036,3,4,70,30
458,2036,4,1,1,6666
459,2036,4,3,10002,132
460,2036,4,3,20001,24
461,2037,3,4,160,5
462,2037,4,1,1,9000
463,2037,4,3,10003,150
464,2038,3,4,161,30
465,2038,4,3,20001,120
466,2038,4,4,185,1
467,2039,3,4,217,1
468,2039,3,4,219,1
469,2039,3,4,220,1
470,2039,4,1,1,18000
471,2039,4,3,10002,150
472,2039,4,3,20001,30
473,2039,4,3,20002,30
474,2040,3,4,218,1
475,2040,4,1,1,3000
476,2040,4,3,20002,30
477,2040,4,4,217,1
478,2041,3,4,12,15
479,2041,4,1,1,6000
480,2041,4,3,10002,180
481,2041,4,3,20001,24
482,2041,4,4,219,1
483,2042,3,4,2,30
484,2042,3,4,139,1
485,2042,3,4,126,1
486,2042,3,4,7,35
487,2042,4,1,1,3000
488,2042,4,3,10003,135
489,2042,4,4,220,1
490,2042,4,5,10002,3
491,2043,3,4,43,25
492,2043,4,3,10002,210
493,2044,3,4,99,25
494,2044,4,1,1,18750
495,2045,3,4,186,1
496,2045,4,1,1,1200
497,2046,3,4,80,10
498,2046,4,1,1,7200
499,2047,3,4,249,1
500,2047,4,3,20001,180
501,2048,3,4,281,6
502,2048,4,3,10003,180
503,2048,4,4,249,1
504,2049,1,4,250,1
505,2049,3,4,264,1
506,2049,4,3,10003,120
507,2051,3,4,44,50
508,2051,4,3,10003,45
509,2051,4,3,10004,105
510,2052,3,4,81,5
511,2052,4,1,1,6000
512,2052,4,5,10002,3
513,2056,3,4,258,30
514,2056,4,1,1,1125
515,2056,4,3,20001,225
516,2057,3,4,258,35
517,2057,4,3,20002,105
518,2058,3,4,258,40
519,2058,4,3,10004,105
520,2058,4,3,20001,45
521,2059,3,4,77,10
522,2059,4,1,1,100
523,2059,4,3,10005,30
524,2060,3,4,77,10
525,2060,4,1,1,100
526,2060,4,3,10005,30
527,2061,3,4,77,10
528,2061,4,1,1,100
529,2061,4,3,10005,30
530,2062,3,4,158,3
531,2062,4,1,1,160
532,2062,4,3,10005,30
533,2062,4,3,20001,3
534,2063,1,4,290,1
535,2063,2,4,185,1
536,2063,3,4,290,1
537,2063,4,1,1,1050
538,2063,4,3,10003,105
539,2064,1,4,290,1
540,2064,2,4,185,1
541,2064,3,4,290,1
542,2064,4,1,1,10500
543,2065,3,4,256,25
544,2065,4,1,1,19500
545,2066,3,4,120,1
546,2066,4,1,1,1875
547,2066,4,3,10003,180
548,2067,3,4,99,35
549,2067,4,3,20001,300
550,2068,3,4,79,25
551,2068,4,3,20001,45
552,2068,4,3,20002,105
553,2069,3,4,104,30
554,2069,4,1,1,9000
555,2069,4,5,10003,3
556,2070,3,4,282,30
557,2070,4,3,10004,150
558,2071,3,4,282,40
559,2071,4,1,1,22500
560,2072,3,4,68,1
561,2072,4,3,10003,300
562,2072,4,3,20001,45
563,2073,3,4,3,50
564,2073,4,3,10003,45
565,2073,4,3,20002,150
566,2074,3,4,86,15
567,2074,4,3,10003,225
568,2075,3,4,137,1
569,2075,4,3,20001,330
570,2076,3,4,283,40
571,2076,4,3,10004,75
572,2076,4,3,20002,45
573,2077,3,4,72,1
574,2077,4,3,10003,69
575,2077,4,3,10004,69
576,2077,4,3,20001,69
577,2077,4,3,20002,69
578,2078,3,4,229,1
579,2078,4,1,1,25500
580,2079,3,4,288,20
581,2079,4,3,10003,330
582,2080,3,4,254,30
583,2080,4,3,10004,105
584,2080,4,3,20001,45
585,2081,3,4,289,35
586,2081,4,1,1,7500
587,2081,4,3,10003,165
588,2081,4,5,10003,3
589,2082,3,4,243,1
590,2082,4,3,20001,375
591,2083,3,4,265,1
592,2083,4,3,20002,150
593,2084,3,4,267,1
594,2084,4,1,1,10500
595,2084,4,3,10003,180
596,2084,4,3,20001,45
597,2085,3,4,120,30
598,2085,4,3,10004,150
599,2086,3,4,137,35
600,2086,4,3,10003,180
601,2086,4,3,20001,150
602,2100,3,4,306,30
603,2100,4,1,1,8000
604,2100,4,3,10003,200
605,2100,4,5,10004,2
606,2101,3,4,315,1
607,2101,4,3,20001,666
608,2102,3,4,319,15
609,2102,4,3,10004,250
610,2103,3,4,316,1
611,2103,4,3,10003,425
612,2104,3,4,304,40
613,2104,4,3,20002,300
614,2105,3,4,318,1
615,2105,4,1,1,45000
616,2106,3,4,296,7
617,2106,4,3,10003,100
618,2106,4,3,10004,100
619,2106,4,3,20001,100
620,2106,4,3,20002,100
621,2107,3,4,323,1
622,2107,4,1,1,52000
623,2107,5,4,302,1
624,2108,3,4,321,20
625,2108,4,3,10003,200
626,2108,4,3,10004,200
627,2109,3,4,305,25
628,2109,4,3,10004,270
629,2110,3,4,297,1
630,2110,4,1,1,5000
631,2110,4,3,10003,150
632,2110,4,3,10004,150
633,2111,3,4,330,30
634,2111,4,1,1,8000
635,2111,4,3,10004,150
636,2111,4,3,20002,100
637,2112,3,4,300,50
638,2112,4,1,1,30000
639,2112,4,3,10004,150
640,2113,3,4,326,1
641,2113,4,3,10003,300
642,2113,4,5,10004,2
643,2114,3,4,335,1
644,2114,4,3,10004,300
645,2114,4,3,20002,45
646,2115,3,4,336,1
647,2115,4,3,20002,375
648,2116,3,4,337,50
649,2116,4,3,10004,45
650,2116,4,3,20002,300
651,2117,3,4,338,1
652,2117,4,3,10004,225
653,2117,5,4,365,1
654,2118,3,4,339,40
655,2118,4,1,1,33000
656,2119,3,4,340,30
657,2119,4,1,1,2100
658,2119,4,3,10004,180
659,2120,3,4,341,20
660,2120,4,3,10004,660
661,2121,3,4,342,1
662,2121,4,1,1,21000
663,2121,4,3,10004,180
664,2121,4,3,20002,45
665,2122,3,4,343,30
666,2122,4,3,10004,300
667,2122,4,3,20002,45
668,2123,3,4,344,1
669,2123,4,3,10004,300
670,2124,3,4,345,15
671,2124,4,1,1,15000
672,2124,4,3,10004,180
673,2124,4,5,10004,2
674,2125,3,4,346,1
675,2125,4,3,10004,405
676,2126,3,4,347,25
677,2126,4,3,10004,150
678,2126,4,3,20002,90
679,2127,3,4,348,1
680,2127,4,3,10004,144
681,2127,4,3,20002,210
682,1132,3,4,366,500
683,1133,3,4,367,1
684,1134,3,4,368,50
685,1135,3,4,369,1
686,1136,3,4,370,100
687,1137,3,4,371,1
688,1138,3,4,372,100
689,1139,3,4,373,1
690,2130,3,4,374,1
691,2130,4,1,1,21000
692,2130,4,3,10004,110
693,2130,4,3,20002,90
694,2131,3,4,375,60
695,2131,4,1,1,49000
696,2131,4,3,10004,30
697,2131,4,3,20002,60
698,1140,3,4,376,1
699,1140,4,1,1,14000
700,1140,4,3,10004,200
701,1140,4,3,20002,30
702,1141,3,4,377,60
703,1141,4,1,1,28000
704,1141,4,3,10004,60
705,1141,4,3,20002,110
706,2132,3,4,378,1
707,2132,4,1,1,35000
708,2132,4,3,10004,60
709,2132,4,3,20002,90
710,2133,3,4,379,60
711,2133,4,1,1,42000
712,2133,4,3,10004,30
713,2133,4,3,20002,90
714,1142,3,4,380,1
715,1142,4,1,1,28000
716,1142,4,3,20002,170
717,1143,3,4,381,60
718,1143,4,1,1,35000
719,1143,4,3,10004,140
720,2134,3,4,383,1
721,2135,3,4,384,60
722,1144,3,4,385,1
723,1145,3,4,386,60
724,2136,3,4,387,1
725,2137,3,4,388,60
726,1146,3,4,389,1
727,1147,3,4,390,60
728,2134,4,1,1,50000
729,2135,4,1,1,50000
730,1144,4,1,1,50000
731,1145,4,1,1,50000
732,2136,4,1,1,50000
733,2137,4,1,1,50000
734,1146,4,1,1,50000
735,1147,4,1,1,50000
736,2134,4,3,10004,10
737,2135,4,3,10004,10
738,1144,4,3,10004,10
739,1145,4,3,10004,10
740,2136,4,3,10004,10
741,2137,4,3,10004,10
742,1146,4,3,10004,10
743,1147,4,3,10004,10
744,2134,4,3,20002,20
745,2135,4,3,20002,20
746,1144,4,3,20002,20
747,1145,4,3,20002,20
748,2136,4,3,20002,20
749,2137,4,3,20002,20
750,1146,4,3,20002,20
751,1147,4,3,20002,20
752,2143,4,3,10005,1
753,2143,4,1,1,100
754,2143,3,4,396,1
755,2144,4,3,10005,1
756,2144,4,1,1,100
757,2144,3,4,397,1
758,2145,4,3,10004,12
759,2145,4,3,20002,12
760,2145,4,1,1,1000000
761,2145,3,4,441,30
762,2146,4,3,10004,12
763,2146,4,3,20002,12
764,2146,4,1,1,1000000
765,2146,3,4,434,1
766,2147,4,3,10004,12
767,2147,4,3,20002,12
768,2147,4,1,1,1000000
769,2147,3,4,437,30
770,2148,4,3,10004,12
771,2148,4,3,20002,12
772,2148,4,1,1,1000000
773,2148,3,4,438,1
774,2149,4,3,10005,1
775,2149,4,1,1,100
776,2149,3,4,396,1
777,2150,4,3,10005,1
778,2150,4,1,1,100
779,2150,3,4,397,1
780,3018,4,3,10001,1
781,3018,4,1,1,100
782,3018,3,4,442,5
783,3019,4,1,1,100
784,3019,3,4,443,8
785,3020,4,3,10001,2
786,3020,4,1,1,300
787,3020,3,4,444,10
788,3021,4,1,1,600
789,3021,3,4,445,13
790,3022,4,1,1,400
791,3022,3,4,446,14
792,3023,4,3,10001,4
793,3023,4,1,1,1200
794,3023,3,4,447,16
795,3024,4,3,10001,4
796,3024,4,1,1,1700
797,3024,3,4,448,20
798,3025,4,1,1,600
799,3025,3,4,449,25
800,4018,4,3,10001,1
801,4018,4,1,1,100
802,4018,3,4,450,5
803,4019,4,1,1,100
804,4019,3,4,451,8
805,4020,4,3,10001,2
806,4020,4,1,1,300
807,4020,3,4,452,10
808,4021,4,1,1,600
809,4021,3,4,453,13
810,4022,4,1,1,400
811,4022,3,4,454,14
812,4023,4,3,10001,4
813,4023,4,1,1,1200
814,4023,3,4,455,16
815,4024,4,3,10001,4
816,4024,4,1,1,1700
817,4024,3,4,456,20
818,4025,4,3,10006,10
819,4025,4,1,1,5200
820,4025,3,4,457,25
821,5001,4,3,10006,10
822,5001,4,1,1,6400
823,5001,3,4,458,27
824,5002,4,3,10006,14
825,5002,4,1,1,13100
826,5002,3,4,459,30
827,5003,4,3,10002,24
828,5003,4,1,1,81500
829,5003,3,4,460,30
830,5004,4,3,10007,6
831,5004,4,1,1,56900
832,5004,3,4,461,30
833,5005,4,3,10007,36
834,5005,4,1,1,1000000
835,5005,3,4,462,30
836,5006,4,3,10003,38
837,5006,4,1,1,1000000
838,5006,3,4,463,30
839,1153,4,3,10005,1
840,1153,4,1,1,100
841,1153,3,4,392,1
842,1154,4,3,10005,1
843,1154,4,1,1,100
844,1154,3,4,394,1
845,1155,4,3,10004,12
846,1155,4,3,20002,12
847,1155,4,1,1,1000000
848,1155,3,4,435,30
849,1156,4,3,10004,12
850,1156,4,3,20002,12
851,1156,4,1,1,1000000
852,1156,3,4,436,1
853,1157,4,3,10004,12
854,1157,4,3,20002,12
855,1157,4,1,1,1000000
856,1157,3,4,439,30
857,1158,4,3,10004,12
858,1158,4,3,20002,12
859,1158,4,1,1,1000000
860,1158,3,4,440,1
861,1159,4,3,10005,1
862,1159,4,1,1,100
863,1159,3,4,392,1
864,1160,4,3,10005,1
865,1160,4,1,1,100
866,1160,3,4,394,1
867,2138,3,4,464,1
868,2138,4,3,10009,12
869,2138,4,3,20002,12
870,2138,4,1,1,1000000
871,2139,3,4,465,60
872,2139,4,3,10009,12
873,2139,4,3,20002,12
874,2139,4,1,1,1000000
875,1148,3,4,466,1
876,1148,4,3,10009,12
877,1148,4,3,20002,12
878,1148,4,1,1,1000000
879,1149,3,4,467,60
880,1149,4,3,10009,12
881,1149,4,3,20002,12
882,1149,4,1,1,1000000
