item_id,code,name,desc1,desc2,p0,p1,p2
104,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 7 days.,Usable for 7 days,1,1,20007
105,PD110310,Tennis Club Uniform,You can use the Estiva Academy male student tennis club uniform set for 30 days.,Usable for 30 days,1,1,20030
106,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 3 months.,Usable for 3 months,1,1,20090
107,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 6 months.,Usable for 6 months,1,1,20180
108,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 1 year.,Usable for 1 year,1,1,20365
109,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 1 day.,Usable for 1 day,2,1,20001
110,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 3 days.,Usable for 3 days,2,1,20003
111,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 7 days.,Usable for 7 days,2,1,20007
112,PD120310,Tennis Club Uniform,You can use the Estiva Academy female student tennis club uniform set for 30 days.,Usable for 30 days,2,1,20030
113,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 3 months.,Usable for 3 months,2,1,20090
114,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 6 months.,Usable for 6 months,2,1,20180
115,PD120310,Estiva Academy Female Student Te,You can use the Estiva Academy female student tennis wear set for 1 year.,Usable for 1 year,2,1,20365
116,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 1 day.,Usable for 1 day,1,2,20001
117,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 3 days.,Usable for 3 days,1,2,20003
118,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 7 days.,Usable for 7 days,1,2,20007
119,PD210310,Badminton Club Uniform,You can use the Yoizuki Academy male student badminton club uniform set for 30 days.,Usable for 30 days,1,2,20030
120,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 3 months.,Usable for 3 months,1,2,20090
121,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 6 months.,Usable for 6 months,1,2,20180
122,PD210310,Yoizuki Academy Male Student Bad,You can use the Yoizuki Academy male student badminton wear set for 1 year.,Usable for 1 year,1,2,20365
123,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 1 day.,Usable for 1 day,2,2,20001
124,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 3 days.,Usable for 3 days,2,2,20003
125,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 7 days.,Usable for 7 days,2,2,20007
126,PD220310,Badminton Club Uniform,You can use the Yoizuki Academy female student badminton club uniform set for 30 days.,Usable for 30 days,2,2,20030
127,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 3 months.,Usable for 3 months,2,2,20090
128,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 6 months.,Usable for 6 months,2,2,20180
129,PD220310,Yoizuki Academy Female Student B,You can use the Yoizuki Academy female student badminton wear set for 1 year.,Usable for 1 year,2,2,20365
130,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 1 day.,Usable for 1 day,1,1,20001
131,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 3 days.,Usable for 3 days,1,1,20003
132,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 7 days.,Usable for 7 days,1,1,20007
133,PD110320,Rock Club Stage Outfit,You can use the Estiva Academy male student Rock Club stage outfit set for 30 days.,Usable for 30 days,1,1,20030
134,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 3 months.,Usable for 3 months,1,1,20090
135,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 6 months.,Usable for 6 months,1,1,20180
136,PD110320,Estiva Academy Male Student Rock,You can use the Estiva Academy male student Rock Club stage outfit set for 1 year.,Usable for 1 year,1,1,20365
137,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 1 day.,Usable for 1 day,2,1,20001
138,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 3 days.,Usable for 3 days,2,1,20003
139,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 7 days.,Usable for 7 days,2,1,20007
140,PD120320,Rock Club Stage Outfit,You can use the Estiva Academy female student Rock Club stage outfit set for 30 days.,Usable for 30 days,2,1,20030
141,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 3 months.,Usable for 3 months,2,1,20090
142,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 6 months.,Usable for 6 months,2,1,20180
143,PD120320,Estiva Academy Female Student Ro,You can use the Estiva Academy female student Rock Club stage outfit set for 1 year.,Usable for 1 year,2,1,20365
144,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 1 day.,Usable for 1 day,1,2,20001
145,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 3 days.,Usable for 3 days,1,2,20003
146,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 7 days.,Usable for 7 days,1,2,20007
147,PD210320,Folk Band Club Outfit,You can use the Yoizuki Academy male student Folk Band Club outfit set for 30 days.,Usable for 30 days,1,2,20030
148,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 3 months.,Usable for 3 months,1,2,20090
149,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 6 months.,Usable for 6 months,1,2,20180
150,PD210320,Yoizuki Academy Male Student Fol,You can use the Yoizuki Academy male student Folk Band Club outfit set for 1 year.,Usable for 1 year,1,2,20365
151,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 1 day.,Usable for 1 day,2,2,20001
152,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 3 days.,Usable for 3 days,2,2,20003
153,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 7 days.,Usable for 7 days,2,2,20007
154,PD220320,Folk Band Club Outfit,You can use the Yoizuki Academy female student Folk Band Club outfit set for 30 days.,Usable for 30 days,2,2,20030
155,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 3 months.,Usable for 3 months,2,2,20090
156,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 6 months.,Usable for 6 months,2,2,20180
157,PD220320,Yoizuki Academy Female Student F,You can use the Yoizuki Academy female student Folk Band Club outfit set for 1 year.,Usable for 1 year,2,2,20365
158,PD007000,EXP Up 1 Day,"For 1 day, gained EXP increases.",Hear one thing and understand ten!,0,0,20001
159,PD007000,EXP Up 3 Days,"For 3 days, gained EXP increases.",Hear one thing and understand ten!,0,0,20003
160,PD007000,EXP Up 7 Days,"For 7 days, gained EXP increases.",Hear one thing and understand ten!,0,0,20007
161,PD007000,EXP Up 30 Days,"For 30 days, gained EXP increases.",Hear one thing and understand ten!,0,0,20030
162,PD007000,EXP Increase 3-Month Pass,"For 3 months, gained EXP increases.",Hear one thing and understand ten!,0,0,20090
163,PD007000,EXP Increase 6-Month Pass,"For 6 months, gained EXP increases.",Hear one thing and understand ten!,0,0,20180
164,PD007000,EXP Increase 1-Year Pass,"For 1 year, gained EXP increases.",Hear one thing and understand ten!,0,0,20365
165,PD007100,Damage Up 1 Day,"For 1 day, attack damage increases.",Attack is the best defense!,0,0,20001
166,PD007100,Damage Up 3 Days,"For 3 days, attack damage increases.",Attack is the best defense!,0,0,20003
167,PD007100,Damage Up 7 Days,"For 7 days, attack damage increases.",Attack is the best defense!,0,0,20007
168,PD007100,Damage Up 30 Days,"For 30 days, attack damage increases.",Attack is the best defense!,0,0,20030
169,PD007100,Attack Damage Increase 3-Month P,"For 3 months, attack damage increases.",Attack is the best defense!,0,0,20090
170,PD007100,Attack Damage Increase 6-Month P,"For 6 months, attack damage increases.",Attack is the best defense!,0,0,20180
171,PD007100,Attack Damage Increase 1-Year Pa,"For 1 year, attack damage increases.",Attack is the best defense!,0,0,20365
172,PD007200,Defense Up 1 Day,"For 1 day, damage taken decreases.",The one still standing at the end is the winner!,0,0,20001
173,PD007200,Defense Up 3 Days,"For 3 days, damage taken decreases.",The one still standing at the end is the winner!,0,0,20003
174,PD007200,Defense Up 7 Days,"For 7 days, damage taken decreases.",The one still standing at the end is the winner!,0,0,20007
175,PD007200,Defense Up 30 Days,"For 30 days, damage taken decreases.",The one still standing at the end is the winner!,0,0,20030
176,PD007200,Damage Taken Reduction 3-Month P,"For 3 months, damage taken decreases.",The one still standing at the end is the true winner!,0,0,20090
177,PD007200,Damage Taken Reduction 6-Month P,"For 6 months, damage taken decreases.",The one still standing at the end is the true winner!,0,0,20180
178,PD007200,Damage Taken Reduction 1-Year Pa,"For 1 year, damage taken decreases.",The one still standing at the end is the true winner!,0,0,20365
179,PD007300,Hit Up 1 Day,"For 1 day, accuracy increases.",Say goodbye to misses!,0,0,20001
180,PD007300,Hit Up 3 Days,"For 3 days, accuracy increases.",Say goodbye to misses!,0,0,20003
181,PD007300,Hit Up 7 Days,"For 7 days, accuracy increases.",Say goodbye to misses!,0,0,20007
182,PD007300,Hit Up 30 Days,"For 30 days, accuracy increases.",Say goodbye to misses!,0,0,20030
183,PD007300,Accuracy Increase 3-Month Pass,"For 3 months, accuracy increases.",Say goodbye to misses!,0,0,20090
184,PD007300,Accuracy Increase 6-Month Pass,"For 6 months, accuracy increases.",Say goodbye to misses!,0,0,20180
185,PD007300,Accuracy Increase 1-Year Pass,"For 1 year, accuracy increases.",Say goodbye to misses!,0,0,20365
186,PD007400,Free Up 1 Day,"For 1 day, evasion increases.",Dodge it and stay unharmed!,0,0,20001
187,PD007400,Free Up 3 Days,"For 3 days, evasion increases.",Dodge it and stay unharmed!,0,0,20003
188,PD007400,Free Up 7 Days,"For 7 days, evasion increases.",Dodge it and stay unharmed!,0,0,20007
189,PD007400,Free Up 30 Days,"For 30 days, evasion increases.",Dodge it and stay unharmed!,0,0,20030
190,PD007400,Evasion Increase 3-Month Pass,"For 3 months, evasion increases.",Dodge it and stay unharmed!,0,0,20090
191,PD007400,Evasion Increase 6-Month Pass,"For 6 months, evasion increases.",Dodge it and stay unharmed!,0,0,20180
192,PD007400,Evasion Increase 1-Year Pass,"For 1 year, evasion increases.",Dodge it and stay unharmed!,0,0,20365
193,PD007500,Critical Up 1 Day,"For 1 day, critical rate increases.",One-hit kill!,0,0,20001
194,PD007500,Critical Up 3 Days,"For 3 days, critical rate increases.",One-hit kill!,0,0,20003
195,PD007500,Critical Up 7 Days,"For 7 days, critical rate increases.",One-hit kill!,0,0,20007
196,PD007500,Critical Up 30 Days,"For 30 days, critical rate increases.",One-hit kill!,0,0,20030
197,PD007500,Critical Increase 3-Month Pass,"For 3 months, critical rate increases.",One-hit kill!,0,0,20090
198,PD007500,Critical Increase 6-Month Pass,"For 6 months, critical rate increases.",One-hit kill!,0,0,20180
199,PD007500,Critical Increase 1-Year Pass,"For 1 year, critical rate increases.",One-hit kill!,0,0,20365
200,PD003101,Year 1 Enhancement Encyclopedia,"When enhancing a weapon to +4 or higher, using this instead of a guidebook increases the success rate by 70% of the base value (if the base is 50%, it becomes 85%).",Make your favorite weapon even stronger!,0,0,0
201,PD003102,Year 2 Enhancement Encyclopedia,"When enhancing a weapon to +4 or higher, using this instead of a guidebook increases the success rate by 70% of the base value (if the base is 50%, it becomes 85%).",Make your favorite weapon even stronger!,0,0,0
202,PD003103,Year 3 Enhancement Encyclopedia,"When enhancing a weapon to +4 or higher, using this instead of a guidebook increases the success rate by 70% of the base value (if the base is 50%, it becomes 85%).",Make your favorite weapon even stronger!,0,0,0
203,PD003104,Year 4 Enhancement Encyclopedia,"When enhancing a weapon to +4 or higher, using this instead of a guidebook increases the success rate by 70% of the base value (if the base is 50%, it becomes 85%).",Make your favorite weapon even stronger!,0,0,0
204,PD003105,Year 5 Enhancement Encyclopedia,"When enhancing a weapon to +4 or higher, using this instead of a guidebook increases the success rate by 70% of the base value (if the base is 50%, it becomes 85%).",Make your favorite weapon even stronger!,0,0,0
205,PD000101,Mezzo-Forte Set,"A set containing a Locker Usage Pass, Placard, and EXP Up 7 Days.",Convenience Set,0,0,0
206,PD000102,Forte Set,"A set containing Locker Usage Pass ×2, Name Tag, Placard, Memory Chip, and EXP Up 7 Days ×2.",More Convenient Set,0,0,0
207,PD000103,Fortissimo Set,"A set containing Locker Usage Pass ×3, Name Tag, Name Tag Backing Set, Placard, Memory Chip, Freely Change Title, Secret Lock, and EXP Up 30 Days.",Very Convenient Set,0,0,0
208,PD000104,Beginner Adagio Set,"A set containing a Locker Usage Pass, Name Tag, Name Tag Backing Set, EXP Up 3 Days, and Defense Up 3 Days.",Beginner Set,0,0,0
209,PD000105,Allegro Set,"A set containing Damage Up 7 Days, Defense Up 7 Days, and Critical Up 7 Days.",Training Set,0,0,0
210,PD000106,Moderato Set,"A set containing Hit Up 7 Days, Free Up 7 Days, and EXP Up 7 Days.",Fulfillment Set,0,0,0
211,PD110220,Robotics Research Club Uniform,You can use the Estiva Academy male student Robotics Research Club uniform set for 30 days.,Usable for 30 days,1,1,20030
212,PD120220,Robotics Research Club Uniform,You can use the Estiva Academy female student Robotics Research Club uniform set for 30 days.,Usable for 30 days,2,1,20030
213,PD210290,Archaeology Research Club Unifor,You can use the Yoizuki Academy male student Archaeology Research Club uniform set for 30 days.,Usable for 30 days,1,2,20030
214,PD220290,Archaeology Research Club Unifor,You can use the Yoizuki Academy female student Archaeology Research Club uniform set for 30 days.,Usable for 30 days,2,2,20030
215,PD110240,Tea Time Club Uniform,You can use the Estiva Academy male student Tea Time Club uniform set for 30 days.,Usable for 30 days,1,1,20030
216,PD120240,Tea Time Club Uniform,You can use the Estiva Academy female student Tea Time Club uniform set for 30 days.,Usable for 30 days,2,1,20030
217,PD210240,Yum Cha Club Uniform,You can use the Yoizuki Academy male student Yum Cha Club uniform set for 30 days.,Usable for 30 days,1,2,20030
218,PD220240,Yum Cha Club Uniform,You can use the Yoizuki Academy female student Yum Cha Club uniform set for 30 days.,Usable for 30 days,2,2,20030
219,PD000107,Allegrissimo Set,"A set containing Damage Up 30 Days, Defense Up 30 Days, and Critical Up 30 Days.",Daily Training Set,0,0,0
220,PD000108,Vivace Set,"A set containing Hit Up 30 Days, Free Up 30 Days, and EXP Up 30 Days.",Daily Fulfillment Set,0,0,0
221,PD003111,Year 1 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with an unenhanced version of the weapon.",It also includes a special clause!,0,0,0
222,PD003112,Year 2 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with an unenhanced version of the weapon.",It also includes a special clause!,0,0,0
223,PD003113,Year 3 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with an unenhanced version of the weapon.",It also includes a special clause!,0,0,0
224,PD003114,Year 4 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with an unenhanced version of the weapon.",It also includes a special clause!,0,0,0
225,PD003115,Year 5 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with an unenhanced version of the weapon.",It also includes a special clause!,0,0,0
226,PD003111,Year 1 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with the weapon in the state it was in before the enhancement attempt.",Cannot be sold!,0,0,0
227,PD003112,Year 2 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with the weapon in the state it was in before the enhancement attempt.",Cannot be sold!,0,0,0
228,PD003113,Year 3 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with the weapon in the state it was in before the enhancement attempt.",Cannot be sold!,0,0,0
229,PD003114,Year 4 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with the weapon in the state it was in before the enhancement attempt.",Cannot be sold!,0,0,0
230,PD003115,Year 5 Enhancement Insurance Cer,"When enhancing a weapon to +4 or higher, the success rate increases by 70% of the base value, and even if it fails, you are compensated with the weapon in the state it was in before the enhancement attempt.",Cannot be sold!,0,0,0
