npc_id,name,unk_int,scale
206,Moka,89,1.25
207,Moka,89,1.25
208,Moka,89,1.25
209,Page,1,0
210,Dorothy,2,0
211,Bobokan,29,0.71
212,Sam,51,0.34
213,Kurata,48,0.79
214,Sam,51,0.34
215,Ruben,45,0.75
216,Shin Sohyun,43,0.99
217,Shop Auntie,3,0
218,Suiren,39,0.3
219,Bianca,7,1.44
220,Kurata,48,0.79
221,Father Vermont,38,0.85
222,Animal Memorial,54,0
223,Kurata,48,0.79
224,Karen,40,0.57
225,Kurata,48,0.79
226,Suchong,21,1
227,Moka,24,1.25
228,Grey,22,0.84
229,Grey,22,0.84
230,China,32,1.23
231,Shop Auntie,3,0
232,Bianca,7,1.44
233,Alina,33,0.95
234,Riez,10,1.5
235,Mao Xiaoping,12,1.24
236,Ben,4,0.34
237,Kurata,48,0.79
238,Father Vermont,38,0.85
239,Rigu,63,0
240,Rigu,63,0
241,Kurata,48,0.79
242,Karen,40,0.57
243,Sam,51,0.34
244,Sam,51,0.34
245,Mei,6,0.83
246,Johnny,5,1.64
247,Johnny,5,1.64
248,Linty,64,0
249,Vacation Helian,60,0.13
250,Vacation Helian,60,0.13
251,Wooden Lever,65,0
252,Riez,10,1.5
253,Alina,33,0.95
254,Dorothy,2,0
255,Page,1,0
7001,Shop Auntie,3,0
7002,Shop Auntie,3,0
9000,Shop Auntie,3,0
9001,Shop Auntie,3,0
9002,Shop Auntie,3,0
9003,Shop Auntie,3,0
9004,Shop Auntie,3,0
9005,Shop Auntie,3,0
9006,Shop Auntie,3,0
9007,Shop Auntie,3,0
9008,Shop Auntie,3,0
9009,Shop Auntie,3,0
9011,Shop Auntie,3,0
9012,Shop Auntie,3,0
8001,Page,1,0
8002,Dorothy,2,0
8003,Shop Auntie,3,0
8004,Ben,4,0.34
8005,Johnny,5,1.64
8006,Page,1,0
8007,Dorothy,2,0
8008,Shop Auntie,3,0
8009,Ben,4,0.34
8010,Johnny,5,1.64
8011,Page,1,0
8012,Dorothy,2,0
8013,Shop Auntie,3,0
8014,Ben,4,0.34
8015,Johnny,5,1.64
8016,Page,1,0
8017,Dorothy,2,0
8018,Shop Auntie,3,0
8019,Ben,4,0.34
8020,Johnny,5,1.64
256,Shin Sohyun,43,0.99
257,Ruben,45,0.75
258,Peko,19,1.87
259,Moka,24,1.25
260,China,32,1.23
261,Hyunrang,14,1.04
262,Grey,22,0.84
263,Johnny,5,1.64
264,Shop Auntie,3,0
265,-2146826246,0,0
266,-2146826246,0,0
267,-2146826246,0,0
268,-2146826246,0,0
269,-2146826246,0,0
270,-2146826246,0,0
271,-2146826246,0,0
272,-2146826246,0,0
273,-2146826246,0,0
274,-2146826246,0,0
275,-2146826246,0,0
276,-2146826246,0,0
277,-2146826246,0,0
278,-2146826246,0,0
279,-2146826246,0,0
280,-2146826246,0,0
281,-2146826246,0,0
282,-2146826246,0,0
283,Kurata,48,0.79
284,Shin Sohyun,43,0.99
285,Suiren,39,0.3
286,Yoen,46,0.89
287,Father Vermont,38,0.85
288,Shop Auntie,3,0
289,-2146826246,0,0
290,-2146826246,0,0
291,-2146826246,0,0
292,-2146826246,0,0
293,-2146826246,0,0
294,-2146826246,0,0
295,-2146826246,0,0
296,-2146826246,0,0
297,-2146826246,0,0
298,-2146826246,0,0
299,-2146826246,0,0
300,-2146826246,0,0
301,-2146826246,0,0
302,-2146826246,0,0
303,-2146826246,0,0
304,-2146826246,0,0
305,-2146826246,0,0
306,-2146826246,0,0
307,China,32,1.23
308,Shin Sohyun,43,0.99
309,Yoen,46,0.89
310,Shin Sohyun,43,0.99
311,-2146826246,0,0
312,Vacation Helian,60,0.13
313,-2146826246,0,0
314,-2146826246,0,0
315,-2146826246,0,0
316,Wooden Lever,65,0
317,Helian Baby,68,0
318,-2146826246,0,0
319,-2146826246,0,0
320,-2146826246,0,0
321,Hoyang,42,0.98
322,Shin Sohyun,43,0.99
323,Suchong,21,1
324,Karte,34,1.02
325,Inject,73,0
326,Johnny,5,1.64
327,Mao Xiaoping,12,1.24
328,Meiyen,41,0.52
329,Mujina Guard,44,4.28
330,Yoen,46,0.89
331,Bianca,7,1.44
332,Stefano,31,0.67
333,Emily,74,0
334,Hoyang,42,0.98
335,Meiyen,41,0.52
336,Bianca,7,1.44
337,Chart,79,1.1
338,Karte,34,1.02
339,Warguma,36,0.53
340,Hoyang,42,0.98
341,Hoyang,42,0.98
342,Meiyen,41,0.52
343,Meiyen,41,0.52
344,Meiyen,41,0.52
345,Meiyen,41,0.52
346,Karen,40,0.57
347,Father Vermont,38,0.85
348,Karen,40,0.57
349,Hachi,76,0.66
350,Yoen,46,0.89
351,Kurata,48,0.79
352,Shin Sohyun,43,0.99
353,Ruben,45,0.75
354,Karen,40,0.57
355,Hoyang,42,0.98
356,Shin Sohyun,43,0.99
357,Ruben,45,0.75
358,Ruben,45,0.75
359,Hoyang,42,0.98
360,Hoyang,42,0.98
361,Hoyang,42,0.98
362,Meiyen,41,0.52
363,Kurata,48,0.79
364,Father Vermont,38,0.85
365,Anna,78,0.97
366,Nana,111,0.97
367,Stalin,13,0.75
368,Meiyen,41,0.52
369,Meiyen,41,0.52
370,Hoyang,42,0.98
371,Hoyang,42,0.98
372,Hoyang,42,0.98
373,Hoyang,42,0.98
374,Puppet Master,81,1.97
375,Shin Sohyun,43,0.99
376,Page,1,0
377,Stefano,31,0.67
378,Warguma,36,0.53
379,Riez,10,1.5
380,Kurata,80,0.79
381,Warguma,36,0.53
382,Warguma,36,0.53
383,Warguma,36,0.53
384,Warguma,36,0.53
385,Warguma,36,0.53
386,Warguma,36,0.53
387,Anna,78,0.97
388,Ruben,45,0.75
389,Mujina Guard,44,4.28
390,Anna,78,0.97
391,Nana,111,0.97
392,Mei,6,0.83
393,Christine,61,0.4
394,Johnny,5,1.64
395,Stalin,13,0.75
396,Shin Sohyun,43,0.99
397,Puppet Master,81,1.97
398,Puppet Master,81,1.97
399,Suiren,39,0.3
400,Hoyang,42,0.98
401,Suchong,21,1
402,Hoyang,42,0.98
403,Encyclopedia,92,0
404,Suiren,39,0.3
405,Dirty Karen,40,0.57
406,Nine Fox,57,0
407,Shin Sohyun,43,0.99
408,Hoggy Puppet,88,0
409,Meiyen,41,0.52
410,Hoyang,85,0.98
411,Puppet Master,81,1.97
412,Hoyang,87,0
413,Meiyen,86,0
414,Hoyang,42,0.98
415,Moka,24,1.25
416,Bloody Ducky,69,1.19
417,Moka,24,1.25
418,Sam,51,0.34
419,Suchong,21,1
420,Instructor Stefano,84,0
421,Mecha Dorothy No. 4,90,1
422,Moka,24,1.25
423,Suchong,21,1
424,Riez,10,1.5
425,Yoen,46,0.89
426,Ben,4,0.34
427,Sam,51,0.34
428,Yoizuki Male Student,93,0
429,Yoizuki Female Student,94,0
430,Bianca,7,1.44
431,Linty,64,0
432,Lever,35,0
433,Shop Auntie,3,0
434,Shop Auntie,3,0
435,Bloody Ducky,69,1.19
436,Hachi,76,0.66
437,Shin Sohyun,43,0.99
438,Yoizuki Female Student,93,0
439,Yoizuki Male Student,94,0
440,Student A,49,0.84
441,Bloody Ducky,69,1.19
442,Grey,22,0.84
443,Mao Xiaoping,12,1.24
444,Mysterious Girl,97,0
445,Grey,22,0.84
446,Mao Xiaoping,12,1.24
447,Hachi,76,0.66
448,Shitoumaru,9,0.73
449,Ruben,45,0.75
450,Dwarguma,37,0.53
451,Warguma,36,0.53
452,L. Torvalds,102,0
453,Somunyang,11,0.7
454,Suchong,21,1
455,Moka,24,1.25
456,Student A,49,0.84
457,Ruben,45,0.75
458,Shin Sohyun,43,0.99
459,Estiva Student,99,0
460,Suiren,39,0.3
461,Karen,40,0.57
462,Guardian Fairy,98,0
463,Father Vermont,38,0.85
464,Kurata,48,0.79
465,Student A,49,0.84
466,Shaolin,47,0
467,Woman of the Mausoleum,50,0
468,Shin Sohyun,43,0.99
469,Ruben,45,0.75
470,Lever,35,0
471,Ben,4,0.34
472,Sam,51,0.34
473,Grey,22,0.84
474,Shin Sohyun,43,0.99
475,Ruben,45,0.75
476,Puppet Master,81,1.97
477,Shop Auntie,3,0
478,Shop Auntie,3,0
479,Shop Auntie,3,0
480,Shop Auntie,3,0
481,Shop Auntie,3,0
482,Shop Auntie,3,0
483,Shin Sohyun,43,0.99
484,Student A,49,0.84
485,Grey,22,0.84
486,Book of Absolute Knowledge,96,0
487,Book of Absolute Knowledge,96,0
488,Rosie,77,0
489,Student A,49,0.84
490,Student A,49,0.84
491,Student A,49,0.84
492,Student A,49,0.84
493,Student A,49,0.84
494,Student A,49,0.84
495,Student A,49,0.84
496,Student A,49,0.84
497,Student A,49,0.84
498,Student A,49,0.84
499,Shitoumaru,9,0.73
500,Suchong,21,1
501,L. Torvalds,102,0
502,L. Torvalds,103,0
503,Mao Xiaoping,12,1.24
504,Mysterious Girl,97,0
505,Grey,22,0.84
506,Kapit,104,0
507,Kapit,104,0
508,Bloody Ducky,69,0
509,Man in Black,70,0
510,Student A,49,0.84
511,Shin Sohyun,43,0
512,Shaolin,47,0
513,Kurata,48,0
514,Ruben,45,0
515,Guardian Fairy,98,0
516,Woman of the Mausoleum,50,0
517,Woman of the Mausoleum,106,0
518,Megadeath,56,0
519,Megadeath,105,0
520,Father Vermont,38,0
521,Linty,64,0
522,Shin Sohyun,43,0.99
523,Christine,61,0
524,Grey,22,0
525,Frederick,62,0
526,Suiren and Karen,107,0
527,Suiren,39,0
528,Karen,40,0
529,Ancient Civilization Girl,108,0
530,Man in Black,70,0
531,Grey,22,0
532,Woodherian,60,0
533,Woodherian,68,0
534,Christine,61,0
535,Page,1,0
536,Bianca,7,0
537,Stefano,31,0
538,Riez,10,0
539,Somunyang,11,0
540,Suchong,21,0
541,L. Torvalds,102,0
542,China,32,0
543,Kapit,104,0
544,Ruben,45,0
545,Shin Sohyun,43,0
546,Yoen,46,0
547,Kurata,48,0
548,Grey,22,0
549,Shin Sohyun,43,0
550,China,32,0
551,Ruben,45,0
552,Kapit,104,0
553,Suchong,21,0
554,Moka,24,0
555,Ancient Civilization Girl,108,0
556,Peko,19,0
557,Hachi,76,0
