index,key,d00,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,semantic_episode_id_dup,semantic_intro_chain_flag,semantic_unlock_ref_a,semantic_unlock_ref_b,semantic_unlock_ref_c,semantic_intro_finale_flag,semantic_unlock_ref_a_alt,semantic_unlock_ref_b_alt,semantic_unlock_ref_c_alt,semantic_unused_d09,semantic_unused_d10,semantic_unused_d11,semantic_unused_d12,semantic_type,semantic_level,semantic_team_mode_flag,semantic_minplayers,semantic_maxplayers,semantic_minteams,semantic_maxteams,semantic_unknown_constant,semantic_unknown_d21
46,41,41,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,1,8,1,1,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,1,8,1,1,2,0
47,43,43,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,8,32,4,4,2,1,43,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,8,32,4,4,2,1
48,46,46,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,1,8,1,1,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,1,8,1,1,2,0
49,47,47,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,1,8,1,1,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,1,8,1,1,2,0
50,48,48,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,1,8,1,1,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,1,8,1,1,2,0
51,49,49,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,2,32,2,2,2,1,49,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,2,32,2,2,2,1
52,65,65,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,1,8,1,1,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,1,8,1,1,2,0
53,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,1,8,1,1,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,1,8,1,1,2,0
54,67,67,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,1,8,1,1,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,1,8,1,1,2,0
55,72,72,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,1,8,1,1,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,1,8,1,1,2,0
56,73,73,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2,1,8,1,1,2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2,1,8,1,1,2,0
57,74,74,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,8,1,1,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,8,1,1,2,0
58,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,1,8,1,1,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,1,8,1,1,2,0
59,78,78,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,1,8,1,1,2,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,1,8,1,1,2,0
60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,87,2,1,8,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,87,2,1,8,1,1,2,0
61,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,69,2,1,8,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,69,2,1,8,1,1,2,0
62,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,8,1,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,8,1,1,2,0
63,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0
64,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,81,2,1,8,1,1,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,81,2,1,8,1,1,2,0
65,22,22,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0
66,24,24,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,1,8,1,1,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,1,8,1,1,2,0
67,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1,65,2,1,8,1,1,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,65,2,1,8,1,1,2,0
68,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,1,8,1,1,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,1,8,1,1,2,0
69,35,35,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,1,8,1,1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,1,8,1,1,2,0
70,37,37,0,0,0,0,0,0,0,0,0,0,0,0,2,60,1,2,32,2,4,2,1,37,0,0,0,0,0,0,0,0,0,0,0,0,2,60,1,2,32,2,4,2,1
71,38,38,0,0,0,0,0,0,0,0,0,0,0,0,1,69,2,1,8,1,1,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,69,2,1,8,1,1,2,0
72,42,42,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1
73,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0
74,57,57,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,1,8,1,1,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,1,8,1,1,2,0
75,59,59,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,1,8,1,1,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,1,8,1,1,2,0
76,81,81,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0
77,90,90,0,0,0,0,0,0,0,0,0,0,0,0,1,77,2,1,8,1,1,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,77,2,1,8,1,1,2,0
78,92,92,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0
79,93,93,0,0,0,0,0,0,0,0,0,0,0,0,1,65,2,1,8,1,1,2,0,93,0,0,0,0,0,0,0,0,0,0,0,0,1,65,2,1,8,1,1,2,0
80,96,96,0,0,0,0,0,0,0,0,0,0,0,0,1,87,2,1,8,1,1,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1,87,2,1,8,1,1,2,0
81,97,97,0,0,0,0,0,0,0,0,0,0,0,0,1,85,2,1,8,1,1,2,0,97,0,0,0,0,0,0,0,0,0,0,0,0,1,85,2,1,8,1,1,2,0
82,101,101,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,1,8,1,1,2,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,1,8,1,1,2,0
83,104,104,0,0,0,0,0,0,0,0,0,0,0,0,2,60,1,2,12,2,2,2,1,104,0,0,0,0,0,0,0,0,0,0,0,0,2,60,1,2,12,2,2,2,1
84,111,111,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1,111,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1
85,130,130,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,8,1,1,2,0,130,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,8,1,1,2,0
86,131,131,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0,131,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0
87,134,134,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,1,8,1,1,2,0,134,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,1,8,1,1,2,0
88,135,135,0,0,0,0,0,0,0,0,0,0,0,0,1,77,1,1,8,1,1,2,1,135,0,0,0,0,0,0,0,0,0,0,0,0,1,77,1,1,8,1,1,2,1
89,139,139,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,2,8,1,1,2,0,139,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,2,8,1,1,2,0
90,140,140,0,0,0,0,0,0,0,0,0,0,0,0,1,81,2,1,8,1,1,2,0,140,0,0,0,0,0,0,0,0,0,0,0,0,1,81,2,1,8,1,1,2,0
91,141,141,0,0,0,0,0,0,0,0,0,0,0,0,1,85,2,1,8,1,1,2,0,141,0,0,0,0,0,0,0,0,0,0,0,0,1,85,2,1,8,1,1,2,0
92,8001,8001,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,2,8,2,2,2,1,8001,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,2,8,2,2,2,1
93,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,1,8,1,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,1,8,1,1,2,0
94,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1,98,2,1,8,1,1,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,98,2,1,8,1,1,2,0
95,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1,108,2,1,8,1,1,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,108,2,1,8,1,1,2,0
96,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,105,2,1,8,1,1,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,105,2,1,8,1,1,2,0
97,53,53,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,2,8,1,1,2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,2,8,1,1,2,0
98,58,58,0,0,0,0,0,0,0,0,0,0,0,0,1,111,2,1,8,1,1,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,111,2,1,8,1,1,2,0
99,60,60,0,0,0,0,0,0,0,0,0,0,0,0,1,92,2,1,8,1,1,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,92,2,1,8,1,1,2,0
100,83,83,0,0,0,0,0,0,0,0,0,0,0,0,1,92,2,1,8,1,1,2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,1,92,2,1,8,1,1,2,0
101,84,84,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,1,8,1,1,2,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,1,8,1,1,2,0
102,85,85,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,1,8,1,1,2,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,1,8,1,1,2,0
103,86,86,0,0,0,0,0,0,0,0,0,0,0,0,1,108,2,1,8,1,1,2,0,86,0,0,0,0,0,0,0,0,0,0,0,0,1,108,2,1,8,1,1,2,0
104,87,87,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2,1,8,1,1,2,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2,1,8,1,1,2,0
105,91,91,0,0,0,0,0,0,0,0,0,0,0,0,1,114,2,1,8,1,1,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,114,2,1,8,1,1,2,0
106,94,94,0,0,0,0,0,0,0,0,0,0,0,0,1,96,2,1,8,1,1,2,0,94,0,0,0,0,0,0,0,0,0,0,0,0,1,96,2,1,8,1,1,2,0
107,98,98,0,0,0,0,0,0,0,0,0,0,0,0,1,96,2,1,8,1,1,2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,1,96,2,1,8,1,1,2,0
108,99,99,0,0,0,0,0,0,0,0,0,0,0,0,1,117,2,1,8,1,1,2,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,117,2,1,8,1,1,2,0
109,100,100,0,0,0,0,0,0,0,0,0,0,0,0,1,125,2,1,8,1,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,125,2,1,8,1,1,2,0
110,102,102,0,0,0,0,0,0,0,0,0,0,0,0,1,117,2,1,8,1,1,2,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1,117,2,1,8,1,1,2,0
111,103,103,0,0,0,0,0,0,0,0,0,0,0,0,1,114,2,1,8,1,1,2,0,103,0,0,0,0,0,0,0,0,0,0,0,0,1,114,2,1,8,1,1,2,0
112,106,106,0,0,0,0,0,0,0,0,0,0,0,0,1,98,2,1,8,1,1,2,0,106,0,0,0,0,0,0,0,0,0,0,0,0,1,98,2,1,8,1,1,2,0
113,107,107,0,0,0,0,0,0,0,0,0,0,0,0,1,102,2,1,8,1,1,2,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,102,2,1,8,1,1,2,0
114,109,109,0,0,0,0,0,0,0,0,0,0,0,0,1,102,2,1,8,1,1,2,0,109,0,0,0,0,0,0,0,0,0,0,0,0,1,102,2,1,8,1,1,2,0
115,117,117,0,0,0,0,0,0,0,0,0,0,0,0,1,129,2,1,8,1,1,2,0,117,0,0,0,0,0,0,0,0,0,0,0,0,1,129,2,1,8,1,1,2,0
116,133,133,0,0,0,0,0,0,0,0,0,0,0,0,1,111,2,1,8,1,1,2,0,133,0,0,0,0,0,0,0,0,0,0,0,0,1,111,2,1,8,1,1,2,0
117,136,136,0,0,0,0,0,0,0,0,0,0,0,0,1,129,2,1,8,1,1,2,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,129,2,1,8,1,1,2,0
118,137,137,0,0,0,0,0,0,0,0,0,0,0,0,1,125,2,1,8,1,1,2,0,137,0,0,0,0,0,0,0,0,0,0,0,0,1,125,2,1,8,1,1,2,0
119,143,143,0,0,0,0,0,0,0,0,0,0,0,0,1,105,2,1,8,1,1,2,0,143,0,0,0,0,0,0,0,0,0,0,0,0,1,105,2,1,8,1,1,2,0
120,144,144,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2,1,8,1,1,2,0,144,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2,1,8,1,1,2,0
121,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2,1,8,1,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2,1,8,1,1,2,0
122,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1,66,2,1,8,1,1,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,66,2,1,8,1,1,2,0
123,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,68,2,1,8,1,1,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,68,2,1,8,1,1,2,0
124,51,51,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,1,8,1,1,2,0
125,52,52,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,8,1,1,2,0
126,145,145,0,0,0,0,0,0,0,0,0,0,0,0,1,135,2,1,8,1,1,2,0,145,0,0,0,0,0,0,0,0,0,0,0,0,1,135,2,1,8,1,1,2,0
127,146,146,0,0,0,0,0,0,0,0,0,0,0,0,1,135,2,1,8,1,1,2,0,146,0,0,0,0,0,0,0,0,0,0,0,0,1,135,2,1,8,1,1,2,0
128,147,147,0,0,0,0,0,0,0,0,0,0,0,0,1,141,2,1,8,1,1,2,0,147,0,0,0,0,0,0,0,0,0,0,0,0,1,141,2,1,8,1,1,2,0
129,148,148,0,0,0,0,0,0,0,0,0,0,0,0,1,141,2,1,8,1,1,2,0,148,0,0,0,0,0,0,0,0,0,0,0,0,1,141,2,1,8,1,1,2,0
130,55,55,0,0,0,0,0,0,0,0,0,0,0,0,1,77,2,1,8,1,1,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,77,2,1,8,1,1,2,0
131,132,132,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1,132,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,4,2,1
132,40,40,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,16,2,2,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,16,2,2,2,1
133,82,82,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0
134,119,119,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0,119,0,0,0,0,0,0,0,0,0,0,0,0,1,89,2,1,8,1,1,2,0
135,149,149,0,0,0,0,0,0,0,0,0,0,0,0,1,147,2,1,8,1,1,2,0,149,0,0,0,0,0,0,0,0,0,0,0,0,1,147,2,1,8,1,1,2,0
136,150,150,0,0,0,0,0,0,0,0,0,0,0,0,1,147,2,1,8,1,1,2,0,150,0,0,0,0,0,0,0,0,0,0,0,0,1,147,2,1,8,1,1,2,0
137,151,151,0,0,0,0,0,0,0,0,0,0,0,0,1,153,2,1,8,1,1,2,0,151,0,0,0,0,0,0,0,0,0,0,0,0,1,153,2,1,8,1,1,2,0
138,152,152,0,0,0,0,0,0,0,0,0,0,0,0,1,153,2,1,8,1,1,2,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1,153,2,1,8,1,1,2,0
139,153,153,0,0,0,0,0,0,0,0,0,0,0,0,1,160,2,1,8,1,1,2,0,153,0,0,0,0,0,0,0,0,0,0,0,0,1,160,2,1,8,1,1,2,0
140,154,154,0,0,0,0,0,0,0,0,0,0,0,0,1,160,2,1,8,1,1,2,0,154,0,0,0,0,0,0,0,0,0,0,0,0,1,160,2,1,8,1,1,2,0
141,155,155,0,0,0,0,0,0,0,0,0,0,0,0,1,174,2,1,8,1,1,2,0,155,0,0,0,0,0,0,0,0,0,0,0,0,1,174,2,1,8,1,1,2,0
142,156,156,0,0,0,0,0,0,0,0,0,0,0,0,1,181,2,1,8,1,1,2,0,156,0,0,0,0,0,0,0,0,0,0,0,0,1,181,2,1,8,1,1,2,0
143,157,157,0,0,0,0,0,0,0,0,0,0,0,0,1,167,2,1,8,1,1,2,0,157,0,0,0,0,0,0,0,0,0,0,0,0,1,167,2,1,8,1,1,2,0
144,158,158,0,0,0,0,0,0,0,0,0,0,0,0,1,167,2,1,8,1,1,2,0,158,0,0,0,0,0,0,0,0,0,0,0,0,1,167,2,1,8,1,1,2,0
