index,v0,v1,v2,v3,v4,v5_raw,flag
68,41001,1,102031,22,32,217,1
69,41002,1,102031,22,32,217,1
70,41003,1,102031,22,32,217,1
71,41004,1,102031,22,32,217,1
72,41005,1,102031,22,32,217,1
73,41006,1,102031,22,32,217,1
74,41007,1,102031,22,32,217,1
75,41008,1,102031,22,32,217,1
76,41009,1,102031,22,32,217,1
77,41010,1,102031,22,32,217,1
78,41011,1,102031,22,32,217,1
79,41012,1,102031,22,32,217,1
80,41013,1,102031,22,32,217,1
81,41014,1,102031,22,32,217,1
82,41015,1,102031,22,32,217,1
83,41016,1,102031,22,32,217,1
84,41017,1,102031,22,32,217,1
85,41018,1,102031,22,32,217,1
86,41019,1,102031,22,32,217,1
87,41020,1,102031,22,32,217,1
88,41021,1,102031,22,32,217,1
89,41022,1,102031,22,32,217,1
90,41023,1,102031,22,32,217,1
91,41024,1,102031,22,32,217,1
92,41025,1,102031,22,32,217,1
93,41026,1,102031,22,32,217,1
94,41027,1,102031,22,32,217,1
95,41028,1,102031,22,32,217,1
96,41029,1,102031,22,32,217,1
97,41030,1,102031,22,32,217,1
98,41031,2,102031,9,32,0,0
99,41032,2,102031,9,32,0,0
100,41033,2,102031,9,32,0,0
101,41034,2,102031,9,32,0,0
102,41035,2,102031,9,32,0,0
103,41036,2,102031,9,32,0,0
104,41037,2,102031,9,32,0,0
105,41038,2,102031,9,32,0,0
106,41039,2,102031,9,32,0,0
107,41040,2,102031,9,32,0,0
108,41041,2,102031,9,32,0,0
109,41042,2,102031,9,32,0,0
110,41043,2,102031,9,32,0,0
111,41044,2,102031,9,32,0,0
112,41045,2,102031,9,32,0,0
113,41046,2,102031,9,32,0,0
114,41047,2,102031,9,32,0,0
115,41048,2,102031,9,32,0,0
116,41049,2,102031,9,32,0,0
117,41050,2,102031,9,32,0,0
118,41051,0,101011,1,32,0,0
119,41052,0,101011,1,32,0,0
120,41053,0,101011,1,32,0,0
121,41054,0,101011,1,32,0,0
122,41055,0,101011,1,32,0,0
123,41056,0,101011,1,32,0,0
124,41057,0,101011,1,32,0,0
125,41058,0,101011,1,32,0,0
126,41059,0,101011,1,32,0,0
127,41060,0,101011,1,32,0,0
128,41091,0,101011,0,0,0,0
129,41092,0,101011,0,0,0,0
130,41093,0,101011,0,0,0,0
131,41094,0,101011,0,0,0,0
132,41095,0,101011,0,0,0,0
133,41096,0,101011,0,0,0,0
134,41097,0,101011,0,0,0,0
135,41098,0,101011,0,0,0,0
136,41099,0,101011,0,0,0,0
137,41100,0,101011,0,0,0,0
138,41101,0,101011,0,0,0,0
139,41102,0,101011,0,0,0,0
140,41103,0,101011,0,0,0,0
141,41104,0,101011,0,0,0,0
142,41105,0,101011,0,0,0,0
143,41106,0,101011,0,0,0,0
144,41107,0,101011,0,0,0,0
145,41108,0,101011,0,0,0,0
146,41109,0,101011,0,0,0,0
147,41110,0,101011,0,0,0,0
148,41111,0,101011,0,0,0,0
149,41112,0,101011,0,0,0,0
150,41113,0,101011,0,0,0,0
151,41114,0,101011,0,0,0,0
152,41115,0,101011,0,0,0,0
153,41116,0,101011,0,0,0,0
154,41117,0,101011,0,0,0,0
155,41118,0,101011,0,0,0,0
156,41119,0,101011,0,0,0,0
157,41120,0,101011,0,0,0,0
158,61001,3,115092,22,32,152,1
159,61002,3,115092,22,32,152,1
160,61003,3,115092,22,32,152,1
161,61004,3,115092,22,32,152,1
162,61005,3,115092,22,32,152,1
163,61006,3,115092,22,32,152,1
164,61007,3,115092,22,32,152,1
165,61008,3,115092,22,32,152,1
166,61009,3,115092,22,32,152,1
167,61010,3,115092,22,32,152,1
168,61011,3,115092,22,32,152,1
169,61012,3,115092,22,32,152,1
170,61013,3,115092,22,32,152,1
171,61014,3,115092,22,32,152,1
172,61015,3,115092,22,32,152,1
173,61016,3,115092,22,32,152,1
174,61017,3,115092,22,32,152,1
175,61018,3,115092,22,32,152,1
176,61019,3,115092,22,32,152,1
177,61020,3,115092,22,32,152,1
178,61021,3,115092,9,32,0,0
179,61022,3,115092,9,32,0,0
180,61023,3,115092,9,32,0,0
181,61024,3,115092,9,32,0,0
182,61025,3,115092,9,32,0,0
183,61026,3,115092,9,32,0,0
184,61027,3,115092,9,32,0,0
185,61028,3,115092,9,32,0,0
186,61029,3,115092,9,32,0,0
187,61030,3,115092,9,32,0,0
188,61031,3,115092,9,32,0,0
189,61032,3,115092,9,32,0,0
190,61033,3,115092,9,32,0,0
191,61034,3,115092,9,32,0,0
192,61035,3,115092,9,32,0,0
193,61036,3,115092,9,32,0,0
194,61037,3,115092,9,32,0,0
195,61038,3,115092,9,32,0,0
196,61039,3,115092,9,32,0,0
197,61040,3,115092,9,32,0,0
198,61041,3,115092,9,32,0,0
199,61042,3,115092,9,32,0,0
200,61043,3,115092,9,32,0,0
201,61044,3,115092,9,32,0,0
202,61045,3,115092,9,32,0,0
203,61046,3,115092,9,32,0,0
204,61047,3,115092,9,32,0,0
205,61048,3,115092,9,32,0,0
206,61049,3,115092,9,32,0,0
207,61050,3,115092,9,32,0,0
208,61121,0,101011,0,0,0,0
209,61122,0,101011,0,0,0,0
210,61123,0,101011,0,0,0,0
211,61124,0,101011,0,0,0,0
212,61125,0,101011,0,0,0,0
213,61126,0,101011,0,0,0,0
214,61127,0,101011,0,0,0,0
215,61128,0,101011,0,0,0,0
216,61129,0,101011,0,0,0,0
217,61130,0,101011,0,0,0,0
218,61131,0,101011,0,0,0,0
219,61132,0,101011,0,0,0,0
220,61133,0,101011,0,0,0,0
221,61134,0,101011,0,0,0,0
222,61135,0,101011,0,0,0,0
223,61136,0,101011,0,0,0,0
224,61137,0,101011,0,0,0,0
225,61138,0,101011,0,0,0,0
226,61139,0,101011,0,0,0,0
227,61140,0,101011,0,0,0,0
228,21001,1,103042,22,32,173,1
229,21002,1,103042,22,32,173,1
230,21003,1,103042,22,32,173,1
231,21004,1,103042,22,32,173,1
232,21005,1,103042,22,32,173,1
233,21006,1,103042,22,32,173,1
234,21007,1,103042,22,32,173,1
235,21008,1,103042,22,32,173,1
236,21009,1,103042,22,32,173,1
237,21010,1,103042,22,32,173,1
238,21011,1,103042,22,32,173,1
239,21012,1,103042,22,32,173,1
240,21013,1,103042,22,32,173,1
241,21014,1,103042,22,32,173,1
242,21015,1,103042,22,32,173,1
243,21016,1,103042,22,32,173,1
244,21017,1,103042,22,32,173,1
245,21018,1,103042,22,32,173,1
246,21019,1,103042,22,32,173,1
247,21020,1,103042,22,32,173,1
248,21021,1,103042,22,32,173,1
249,21022,1,103042,22,32,173,1
250,21023,1,103042,22,32,173,1
251,21024,1,103042,22,32,173,1
252,21025,1,103042,22,32,173,1
253,21026,1,103042,22,32,173,1
254,21027,1,103042,22,32,173,1
255,21028,1,103042,22,32,173,1
256,21029,1,103042,22,32,173,1
257,21030,1,103042,22,32,173,1
258,21031,2,103042,9,32,0,0
259,21032,2,103042,9,32,0,0
260,21033,2,103042,9,32,0,0
261,21034,2,103042,9,32,0,0
262,21035,2,103042,9,32,0,0
263,21036,2,103042,9,32,0,0
264,21037,2,103042,9,32,0,0
265,21038,2,103042,9,32,0,0
266,21039,2,103042,9,32,0,0
267,21040,2,103042,9,32,0,0
268,21041,2,103042,9,32,0,0
269,21042,2,103042,9,32,0,0
270,21043,2,103042,9,32,0,0
271,21044,2,103042,9,32,0,0
272,21045,2,103042,9,32,0,0
273,21046,2,103042,9,32,0,0
274,21047,2,103042,9,32,0,0
275,21048,2,103042,9,32,0,0
276,21049,2,103042,9,32,0,0
277,21050,2,103042,9,32,0,0
278,21051,0,101011,1,32,0,0
279,21052,0,101011,1,32,0,0
280,21053,0,101011,1,32,0,0
281,21054,0,101011,1,32,0,0
282,21055,0,101011,1,32,0,0
283,21056,0,101011,1,32,0,0
284,21057,0,101011,1,32,0,0
285,21058,0,101011,1,32,0,0
286,21059,0,101011,1,32,0,0
287,21060,0,101011,1,32,0,0
288,21091,0,101011,0,0,0,0
289,21092,0,101011,0,0,0,0
290,21093,0,101011,0,0,0,0
291,21094,0,101011,0,0,0,0
292,21095,0,101011,0,0,0,0
293,21096,0,101011,0,0,0,0
294,21097,0,101011,0,0,0,0
295,21098,0,101011,0,0,0,0
296,21099,0,101011,0,0,0,0
297,21100,0,101011,0,0,0,0
298,21101,0,101011,0,0,0,0
299,21102,0,101011,0,0,0,0
300,21103,0,101011,0,0,0,0
301,21104,0,101011,0,0,0,0
302,21105,0,101011,0,0,0,0
303,21106,0,101011,0,0,0,0
304,21107,0,101011,0,0,0,0
305,21108,0,101011,0,0,0,0
306,21109,0,101011,0,0,0,0
307,21110,0,101011,0,0,0,0
308,21111,0,101011,0,0,0,0
309,21112,0,101011,0,0,0,0
310,21113,0,101011,0,0,0,0
311,21114,0,101011,0,0,0,0
312,21115,0,101011,0,0,0,0
313,21116,0,101011,0,0,0,0
314,21117,0,101011,0,0,0,0
315,21118,0,101011,0,0,0,0
316,21119,0,101011,0,0,0,0
317,21120,0,101011,0,0,0,0
318,81001,3,115092,22,32,152,1
319,81002,3,115092,22,32,152,1
320,81003,3,115092,22,32,152,1
321,81004,3,115092,22,32,152,1
322,81005,3,115092,22,32,152,1
323,81006,3,115092,22,32,152,1
324,81007,3,115092,22,32,152,1
325,81008,3,115092,22,32,152,1
326,81009,3,115092,22,32,152,1
327,81010,3,115092,22,32,152,1
328,81011,3,115092,22,32,152,1
329,81012,3,115092,22,32,152,1
330,81013,3,115092,22,32,152,1
331,81014,3,115092,22,32,152,1
332,81015,3,115092,22,32,152,1
333,81016,3,115092,22,32,152,1
334,81017,3,115092,22,32,152,1
335,81018,3,115092,22,32,152,1
336,81019,3,115092,22,32,152,1
337,81020,3,115092,22,32,152,1
338,81021,3,115092,9,32,0,0
339,81022,3,115092,9,32,0,0
340,81023,3,115092,9,32,0,0
341,81024,3,115092,9,32,0,0
342,81025,3,115092,9,32,0,0
343,81026,3,115092,9,32,0,0
344,81027,3,115092,9,32,0,0
345,81028,3,115092,9,32,0,0
346,81029,3,115092,9,32,0,0
347,81030,3,115092,9,32,0,0
348,81031,3,115092,9,32,0,0
349,81032,3,115092,9,32,0,0
350,81033,3,115092,9,32,0,0
351,81034,3,115092,9,32,0,0
352,81035,3,115092,9,32,0,0
353,81036,3,115092,9,32,0,0
354,81037,3,115092,9,32,0,0
355,81038,3,115092,9,32,0,0
356,81039,3,115092,9,32,0,0
357,81040,3,115092,9,32,0,0
358,81041,3,115092,9,32,0,0
359,81042,3,115092,9,32,0,0
360,81043,3,115092,9,32,0,0
361,81044,3,115092,9,32,0,0
362,81045,3,115092,9,32,0,0
363,81046,3,115092,9,32,0,0
364,81047,3,115092,9,32,0,0
365,81048,3,115092,9,32,0,0
366,81049,3,115092,9,32,0,0
367,81050,3,115092,9,32,0,0
368,81121,0,101011,0,0,0,0
369,81122,0,101011,0,0,0,0
370,81123,0,101011,0,0,0,0
371,81124,0,101011,0,0,0,0
372,81125,0,101011,0,0,0,0
373,81126,0,101011,0,0,0,0
374,81127,0,101011,0,0,0,0
375,81128,0,101011,0,0,0,0
376,81129,0,101011,0,0,0,0
377,81130,0,101011,0,0,0,0
378,81131,0,101011,0,0,0,0
379,81132,0,101011,0,0,0,0
380,81133,0,101011,0,0,0,0
381,81134,0,101011,0,0,0,0
382,81135,0,101011,0,0,0,0
383,81136,0,101011,0,0,0,0
384,81137,0,101011,0,0,0,0
385,81138,0,101011,0,0,0,0
386,81139,0,101011,0,0,0,0
387,81140,0,101011,0,0,0,0
388,20001,1,115092,22,32,70,1
389,20002,1,105062,22,32,80,1
390,20003,1,101011,22,32,1,1
391,20004,1,105062,22,32,80,1
392,20005,1,101011,22,32,1,1
393,20006,1,110062,22,32,80,1
394,20007,1,101011,22,32,1,1
395,20008,1,105062,22,32,80,1
396,20009,1,101011,22,32,1,1
397,20010,1,101011,22,32,1,1
398,20011,1,101011,22,32,1,1
399,20012,1,101011,22,32,1,1
400,20013,1,101011,22,32,1,1
401,20014,1,101011,22,32,1,1
402,20015,1,108104,22,32,65,1
403,20016,1,108104,22,32,65,1
404,20017,1,101011,22,32,1,1
405,20018,1,111082,22,32,70,1
406,20019,1,101011,22,32,1,1
407,20020,1,101011,22,32,1,1
408,20021,1,105062,22,32,80,1
409,20022,1,101011,22,32,1,1
410,20023,1,106073,22,32,70,1
411,20024,1,101011,22,32,1,1
412,20025,1,101011,22,32,1,1
413,20026,1,101011,22,32,1,1
414,20027,1,101011,22,32,1,1
415,20028,1,106073,22,32,70,1
416,20029,1,107093,22,32,70,1
417,20030,1,106073,22,32,70,1
418,20031,1,101011,22,32,1,1
419,20032,1,107093,22,32,70,1
420,20033,1,107093,22,32,70,1
421,20034,1,114124,22,32,65,1
422,20035,1,116133,22,32,65,1
423,20036,1,116133,22,32,65,1
424,40001,1,103042,22,32,80,1
425,40002,1,105062,22,32,80,1
426,40003,1,103042,22,32,80,1
427,40004,1,101011,22,32,1,1
428,40005,1,101011,22,32,1,1
429,40006,1,103042,22,32,80,1
430,40007,1,101011,22,32,1,1
431,40008,1,101011,22,32,1,1
432,40009,1,105062,22,32,80,1
433,40010,1,103042,22,32,80,1
434,40011,1,115092,22,32,70,1
435,40012,1,106073,22,32,70,1
436,40013,1,107093,22,32,70,1
437,40014,1,103042,22,32,80,1
438,40015,1,101011,22,32,1,1
439,40016,1,106073,22,32,70,1
440,40017,1,101011,22,32,1,1
441,40018,1,103042,22,32,80,1
442,40019,1,101011,22,32,1,1
443,40020,1,101011,22,32,1,1
444,40021,1,107093,22,32,70,1
445,40022,1,101011,22,32,1,1
446,40023,1,105062,22,32,80,1
447,40024,1,101011,22,32,1,1
448,40025,1,101011,22,32,1,1
449,40026,1,101011,22,32,1,1
450,40027,1,101011,22,32,1,1
451,40028,1,108104,22,32,65,1
452,40029,1,101011,22,32,1,1
453,40030,1,101011,22,32,1,1
454,40031,1,108104,22,32,65,1
455,40032,1,108104,22,32,65,1
456,40033,1,112093,22,32,70,1
457,40034,1,114124,22,32,65,1
458,60001,3,116133,22,32,65,1
459,60002,3,116133,22,32,65,1
460,60003,3,116133,22,32,65,1
461,60004,3,116133,22,32,65,1
462,60005,3,116133,22,32,65,1
463,60006,3,116133,22,32,65,1
464,60007,3,116133,22,32,65,1
465,60008,3,116133,22,32,65,1
466,60009,3,116133,22,32,65,1
467,60010,3,116133,22,32,65,1
468,60011,3,116133,22,32,65,1
469,60012,3,116133,22,32,65,1
470,60013,3,116133,22,32,65,1
471,60014,3,116133,22,32,65,1
472,60015,3,116133,22,32,65,1
473,60016,3,116133,22,32,65,1
474,60017,3,116133,22,32,65,1
475,60018,3,116133,22,32,65,1
476,60019,3,116133,22,32,65,1
477,60020,3,116133,22,32,65,1
478,60021,3,116133,22,32,65,1
479,60022,3,116133,22,32,65,1
480,60023,3,116133,22,32,65,1
481,60024,3,116133,22,32,65,1
482,60025,3,116133,22,32,65,1
483,60026,3,116133,22,32,65,1
484,60027,3,115092,22,32,70,1
485,60028,3,116133,22,32,65,1
486,60029,3,116133,22,32,65,1
487,60030,3,116133,22,32,65,1
488,60031,3,116133,22,32,65,1
489,60032,3,116133,22,32,65,1
490,60033,3,115092,22,32,70,1
491,60034,3,116133,22,32,65,1
492,80001,3,115092,22,32,70,1
493,80002,3,115092,22,32,70,1
494,80003,3,115092,22,32,70,1
495,80004,3,115092,22,32,70,1
496,80005,3,101011,22,32,1,1
497,80006,3,115092,22,32,70,1
498,80007,3,115092,22,32,70,1
499,80008,3,101011,22,32,1,1
500,80009,3,115092,22,32,70,1
501,80010,3,115092,22,32,70,1
502,80011,3,115092,22,32,70,1
503,80012,3,101011,22,32,1,1
504,80013,3,115092,22,32,70,1
505,80014,3,115092,22,32,70,1
506,80015,3,115092,22,32,70,1
507,80016,3,101011,22,32,1,1
508,80017,3,115092,22,32,70,1
509,80018,3,101011,22,32,1,1
510,80019,3,115092,22,32,70,1
511,80020,3,101011,22,32,1,1
512,80021,3,101011,22,32,1,1
513,80022,3,101011,22,32,1,1
514,80023,3,101011,22,32,1,1
515,80024,3,101011,22,32,1,1
516,80025,3,115092,22,32,70,1
517,80026,3,101011,22,32,1,1
518,80027,3,115092,22,32,70,1
519,80028,3,115092,22,32,70,1
520,80029,3,115092,22,32,70,1
521,80030,3,115092,22,32,70,1
522,80031,3,115092,22,32,70,1
