index,fmt,af8,id_len,id_code,s1,s2
90,B,636,8,Club0104,,[Club][Invite] The target has left school.
91,B,637,8,Club0105,,[Club][Invite] The invitation was refused.
92,B,638,8,Club0106,,[Club][Invite] Cannot invite in the current state.
93,B,639,8,Club0107,,[Club][Invite] Cannot invite because disbandment has been requested.
94,B,640,8,Club0108,,[Club][Invite] Failed.
95,B,641,8,Club0201,,[Club][Leave] Successful.
96,B,642,8,Club0202,,[Club][Leave] Failed.
97,B,643,8,Club0203,,[$1] has joined.
98,B,644,8,Club0310,,You have been expelled from [$1].
99,B,645,8,Club0205,,You have left [$1].
100,B,646,8,Club0311,,[Club][Expel] Failed.
101,B,647,8,Club0312,,Expelled $1.
102,B,648,8,Club0313,,$1 has been appointed as the new club president.
103,B,649,8,Club0314,,[Club] Failed to transfer the presidency.
